Gene_A	InteractionType	Gene_B	SOURCE
324	pp	8239	BHMRRS
324	pp	7204	BHMRRS
324	pp	81844	BHMRRS
324	pp	7175	BHMRRS
324	pp	9169	BHMRRS
324	pp	3856	BHMRRS
324	pp	9126	BHMRRS
324	pp	4651	BHMRRS
324	pp	64926	BHMRRS
324	pp	4628	BHMRRS
324	pp	6711	BHMRRS
324	pp	3914	BHMRRS
324	pp	55777	BHMRRS
324	pp	3909	BHMRRS
324	pp	6477	BHMRRS
324	pp	90678	BHMRRS
324	pp	64397	BHMRRS
324	pp	6125	BHMRRS
324	pp	4790	BHMRRS
324	pp	3866	BHMRRS
324	pp	3799	BHMRRS
324	pp	89795	BHMRRS
324	pp	4670	BHMRRS
324	pp	6721	BHMRRS
324	pp	9371	BHMRRS
324	pp	85444	BHMRRS
324	pp	4163	BHMRRS
324	pp	701	BHMRRS
324	pp	991	BHMRRS
324	pp	9987	BHMRRS
324	pp	6737	BHMRRS
324	pp	51061	BHMRRS
324	pp	55329	BHMRRS
324	pp	6872	BHMRRS
324	pp	84085	BHMRRS
324	pp	9972	BHMRRS
324	pp	57688	BHMRRS
324	pp	64753	BHMRRS
324	pp	89796	BHMRRS
324	pp	6275	BHMRRS
324	pp	9146	BHMRRS
324	pp	7531	BHMRRS
324	pp	9868	BHMRRS
324	pp	50649	BHMRRS
324	pp	7145	BHMRRS
324	pp	9939	BHMRRS
324	pp	7532	BHMRRS
324	pp	5063	BHMRRS
324	pp	8313	BHMRRS
324	pp	563	BHMRRS
324	pp	51078	BHMRRS
324	pp	5834	BHMRRS
324	pp	4646	BHMRRS
324	pp	8888	BHMRRS
324	pp	8473	BHMRRS
324	pp	56204	BHMRRS
324	pp	55729	BHMRRS
324	pp	8312	CORUM
324	pp	8997	BHMRRS
324	pp	4629	BHMRRS
324	pp	57584	BHMRRS
324	pp	7594	BHMRRS
324	pp	7171	BHMRRS
324	pp	5339	BHMRRS
324	pp	4780	BHMRRS
324	pp	9266	BHMRRS
324	pp	4703	BHMRRS
324	pp	4957	BHMRRS
324	pp	3937	BHMRRS
324	pp	87	BHMRRS
324	pp	6101	BHMRRS
324	pp	8603	BHMRRS
324	pp	84708	BHMRRS
324	pp	57719	BHMRRS
324	pp	4538	BHMRRS
324	pp	53371	BHMRRS
324	pp	720	BHMRRS
324	pp	6096	BHMRRS
324	pp	3852	BHMRRS
324	pp	8021	BHMRRS
324	pp	667	BHMRRS
324	pp	3860	BHMRRS
324	pp	9229	BHMRRS
324	pp	353116	BHMRRS
324	pp	3910	BHMRRS
324	pp	344148	BHMRRS
324	pp	699	BHMRRS
324	pp	9184	BHMRRS
324	pp	57650	BHMRRS
324	pp	55914	BHMRRS
324	pp	84816	BHMRRS
324	pp	84289	BHMRRS
324	pp	6712	BHMRRS
324	pp	3880	BHMRRS
324	pp	9818	BHMRRS
324	pp	3728	BHMRRS
324	pp	4928	BHMRRS
324	pp	65125	BHMRRS
324	pp	6232	BHMRRS
324	pp	9869	BHMRRS
324	pp	84220	BHMRRS
324	pp	57536	BHMRRS
324	pp	54477	BHMRRS
324	pp	5747	BHMRRS
324	pp	9883	BHMRRS
324	pp	5406	BHMRRS
324	pp	7128	BHMRRS
324	pp	476	BHMRRS
324	pp	3267	BHMRRS
324	pp	598	BHMRRS
324	pp	84952	BHMRRS
324	pp	4085	BHMRRS
324	pp	89797	BHMRRS
324	pp	50488	BHMRRS
324	pp	506	BHMRRS
324	pp	5707	BHMRRS
324	pp	80174	BHMRRS
324	pp	83759	BHMRRS
324	pp	8826	CORUM
324	pp	5903	BHMRRS
324	pp	3872	BHMRRS
324	pp	56992	BHMRRS
324	pp	6230	BHMRRS
324	pp	3851	BHMRRS
324	pp	8663	BHMRRS
324	pp	3861	BHMRRS
324	pp	3309	BHMRRS
324	pp	81	BHMRRS
324	pp	2885	BHMRRS
324	pp	22938	BHMRRS
324	pp	1387	BHMRRS
324	pp	23020	BHMRRS
324	pp	1487	BHMRRS
324	pp	10971	BHMRRS
324	pp	1981	BHMRRS
324	pp	22919	BHMRRS
324	pp	25839	BHMRRS
324	pp	3178	BHMRRS
324	pp	1742	BHMRRS
324	pp	2801	BHMRRS
324	pp	1495	BHMRRS
324	pp	10250	BHMRRS
324	pp	29109	BHMRRS
324	pp	22920	BHMRRS
324	pp	160	BHMRRS
324	pp	162699	BHMRRS
324	pp	3185	BHMRRS
324	pp	23499	BHMRRS
324	pp	163	BHMRRS
324	pp	2316	BHMRRS
324	pp	1499	CORUM
324	pp	23636	BHMRRS
324	pp	10574	BHMRRS
324	pp	162	BHMRRS
324	pp	11078	BHMRRS
324	pp	10048	BHMRRS
324	pp	25957	BHMRRS
324	pp	23369	BHMRRS
324	pp	23345	BHMRRS
324	pp	11127	BHMRRS
324	pp	2317	BHMRRS
324	pp	2904	BHMRRS
324	pp	10989	BHMRRS
324	pp	22859	BHMRRS
324	pp	10466	BHMRRS
324	pp	10142	BHMRRS
324	pp	2034	BHMRRS
324	pp	10657	BHMRRS
324	pp	11252	BHMRRS
324	pp	310	BHMRRS
324	pp	2101	BHMRRS
324	pp	25984	BHMRRS
324	pp	11259	BHMRRS
324	pp	115106	BHMRRS
324	pp	115677	BHMRRS
324	pp	29956	BHMRRS
324	pp	23368	BHMRRS
