gene_id1	gene_id2	complex_id	complex_name
0	0	117	GPR56-CD81-Galphaq/11-Gbeta complex
0	0	149	PBAF complex (Polybromo- and BAF containing complex)
0	0	189	BAF complex
0	0	520	KCNQ1 macromolecular complex
0	0	564	BAF complex
0	0	3008	60S APC containing complex
0	0	3064	RNA polymerase II complex, chromatin structure modifying
0	0	3127	TLE-Histone H3 complex
0	0	3149	NK-3-Groucho-HIPK2-SIN3A-RbpA48-HDAC1 complex
0	0	3150	NK-3-Groucho complex
0	60	566	BAF complex
0	60	1166	p400-associated complex
0	71	149	PBAF complex (Polybromo- and BAF containing complex)
0	71	189	BAF complex
0	71	2254	CTGF/Hcs24-actin complex
0	86	238	SWI-SNF chromatin remodeling-related-BRCA1 complex
0	86	564	BAF complex
0	86	565	PBAF complex (Polybromo- and BAF containing complex)
0	86	566	BAF complex
0	86	710	Brg1-associated complex I
0	86	711	Brm-associated complex
0	86	1251	BAF complex
0	86	3065	RNA polymerase II complex, chromatin structure modifying
0	142	3137	MASH1 promoter-coactivator complex
0	153	879	PRKAC-AKAP5-ADRB1 complex
0	161	247	RalBP1-CCNB1-AP2A-NUMB-EPN1 complex
0	164	1090	APLG1-Rababtin5 complex
0	324	3008	60S APC containing complex
0	328	298	VEGF transcriptional complex
0	332	2581	RasGAP-AURKA/AURKB-survivin complex
0	579	3149	NK-3-Groucho-HIPK2-SIN3A-RbpA48-HDAC1 complex
0	579	3150	NK-3-Groucho complex
0	672	238	SWI-SNF chromatin remodeling-related-BRCA1 complex
0	673	5919	BRAF-RAF1-14-3-3 complex
0	673	5921	KSR1-BRAF-MEK complex
0	805	4158	HSP90-FKBP38-CAM-Ca(2+) complex
0	830	846	RICH1/AMOT polarity complex, Flag-Rich1 precipitated
0	832	846	RICH1/AMOT polarity complex, Flag-Rich1 precipitated
0	891	247	RalBP1-CCNB1-AP2A-NUMB-EPN1 complex
0	892	3060	RNA polymerase II complex (RPB1, RAP74, CDK8, CYCC, SRB7, BAF190, BAF47), chromatin structure modifying
0	892	3064	RNA polymerase II complex, chromatin structure modifying
0	892	3065	RNA polymerase II complex, chromatin structure modifying
0	928	2872	ITGA2b-ITGB3-CD9-GP1b-CD47 complex
0	961	2872	ITGA2b-ITGB3-CD9-GP1b-CD47 complex
0	975	117	GPR56-CD81-Galphaq/11-Gbeta complex
0	1003	829	PAR-6-VE-cadherin complex, endothelial
0	1003	831	PAR-6-PAR-3-VE-cadherin complex, endothelial
0	1024	3060	RNA polymerase II complex (RPB1, RAP74, CDK8, CYCC, SRB7, BAF190, BAF47), chromatin structure modifying
0	1024	3064	RNA polymerase II complex, chromatin structure modifying
0	1024	3065	RNA polymerase II complex, chromatin structure modifying
0	1107	632	Anti-HDAC2 complex
0	1107	649	HDAC1-associated core complex cII
0	1107	650	HDAC2-asscociated core complex
0	1108	632	Anti-HDAC2 complex
0	1108	888	MTA2 complex
0	1161	727	CSA complex
0	1161	728	CSA-POLIIa complex
0	1387	3137	MASH1 promoter-coactivator complex
0	1490	2254	CTGF/Hcs24-actin complex
0	1642	726	DDB2 complex
0	1642	727	CSA complex
0	1642	728	CSA-POLIIa complex
0	1643	726	DDB2 complex
0	1791	551	TDT-TDIF2-core-histone complex
0	1973	5253	MNK1-eIF4F complex
0	1977	5253	MNK1-eIF4F complex
0	1982	5253	MNK1-eIF4F complex
0	2033	2641	p300/CBP-PCAF-MyoD complex
0	2107	784	SMG-1-Upf1-eRF1-eRF3 complex (SURF)
0	2107	809	eRF1-eRF3-GTP-Mg(2+) complex
0	2197	305	40S ribosomal subunit, cytoplasmic
0	2197	306	Ribosome, cytoplasmic
0	2776	117	GPR56-CD81-Galphaq/11-Gbeta complex
0	2783	117	GPR56-CD81-Galphaq/11-Gbeta complex
0	2784	117	GPR56-CD81-Galphaq/11-Gbeta complex
0	2812	2872	ITGA2b-ITGB3-CD9-GP1b-CD47 complex
0	2873	726	DDB2 complex
0	2873	727	CSA complex
0	2873	728	CSA-POLIIa complex
0	2873	2174	COP9 signalosome complex
0	2885	2540	BCR-ABL (p210 fusion protein)-GRB2 complex
0	2885	2892	BCR-ABL (p185 fusion protein)-GRB2 complex
0	2885	2893	BCR-ABL (p210 fusion protein)-GRB2-SOS1 complex
0	2959	3064	RNA polymerase II complex, chromatin structure modifying
0	2960	3064	RNA polymerase II complex, chromatin structure modifying
0	2962	3060	RNA polymerase II complex (RPB1, RAP74, CDK8, CYCC, SRB7, BAF190, BAF47), chromatin structure modifying
0	2962	3064	RNA polymerase II complex, chromatin structure modifying
0	2965	3064	RNA polymerase II complex, chromatin structure modifying
0	2969	632	Anti-HDAC2 complex
0	3054	2721	HCF-1 complex
0	3065	632	Anti-HDAC2 complex
0	3065	649	HDAC1-associated core complex cII
0	3065	888	MTA2 complex
0	3065	2721	HCF-1 complex
0	3065	3149	NK-3-Groucho-HIPK2-SIN3A-RbpA48-HDAC1 complex
0	3066	632	Anti-HDAC2 complex
0	3066	650	HDAC2-asscociated core complex
0	3066	888	MTA2 complex
0	3066	2721	HCF-1 complex
0	3091	298	VEGF transcriptional complex
0	3280	3137	MASH1 promoter-coactivator complex
0	3308	2721	HCF-1 complex
0	3308	5423	HSP70-BAG5-PARK2 complex
0	3309	2721	HCF-1 complex
0	3312	2721	HCF-1 complex
0	3326	2721	HCF-1 complex
0	3326	4158	HSP90-FKBP38-CAM-Ca(2+) complex
0	3661	299	IRF3-CBP complex
0	3674	2872	ITGA2b-ITGB3-CD9-GP1b-CD47 complex
0	3688	2390	CD98-LAT2-ITGB1 complex
0	3690	2872	ITGA2b-ITGB3-CD9-GP1b-CD47 complex
0	3784	520	KCNQ1 macromolecular complex
0	3845	5922	RAF1-RAS complex, EGF induced
0	3921	305	40S ribosomal subunit, cytoplasmic
0	3921	306	Ribosome, cytoplasmic
0	4654	2641	p300/CBP-PCAF-MyoD complex
0	4736	306	Ribosome, cytoplasmic
0	4841	3137	MASH1 promoter-coactivator complex
0	4853	3154	Notch2(N-TM)-Notch2(N-EC)-Delta complex
0	4893	5922	RAF1-RAS complex, EGF induced
0	5071	5423	HSP70-BAG5-PARK2 complex
0	5111	1098	DNA synthesome complex (13 subunits)
0	5111	1099	DNA synthesome complex (17 subunits)
0	5111	1111	DNA synthesome complex (17 subunits)
0	5144	518	AKAP250-PKA-PDE4D complex
0	5144	621	AKAP250-PKA-PDE4D complex
0	5422	1098	DNA synthesome complex (13 subunits)
0	5422	1099	DNA synthesome complex (17 subunits)
0	5422	1111	DNA synthesome complex (17 subunits)
0	5424	1098	DNA synthesome complex (13 subunits)
0	5424	1099	DNA synthesome complex (17 subunits)
0	5424	1111	DNA synthesome complex (17 subunits)
0	5425	1098	DNA synthesome complex (13 subunits)
0	5425	1099	DNA synthesome complex (17 subunits)
0	5425	1111	DNA synthesome complex (17 subunits)
0	5426	1099	DNA synthesome complex (17 subunits)
0	5426	1111	DNA synthesome complex (17 subunits)
0	5427	1099	DNA synthesome complex (17 subunits)
0	5427	1111	DNA synthesome complex (17 subunits)
0	5430	728	CSA-POLIIa complex
0	5430	3060	RNA polymerase II complex (RPB1, RAP74, CDK8, CYCC, SRB7, BAF190, BAF47), chromatin structure modifying
0	5430	3064	RNA polymerase II complex, chromatin structure modifying
0	5430	3137	MASH1 promoter-coactivator complex
0	5500	520	KCNQ1 macromolecular complex
0	5501	520	KCNQ1 macromolecular complex
0	5557	1098	DNA synthesome complex (13 subunits)
0	5557	1099	DNA synthesome complex (17 subunits)
0	5557	1111	DNA synthesome complex (17 subunits)
0	5558	1098	DNA synthesome complex (13 subunits)
0	5558	1099	DNA synthesome complex (17 subunits)
0	5558	1111	DNA synthesome complex (17 subunits)
0	5567	518	AKAP250-PKA-PDE4D complex
0	5567	520	KCNQ1 macromolecular complex
0	5567	621	AKAP250-PKA-PDE4D complex
0	5567	879	PRKAC-AKAP5-ADRB1 complex
0	5568	518	AKAP250-PKA-PDE4D complex
0	5568	520	KCNQ1 macromolecular complex
0	5568	621	AKAP250-PKA-PDE4D complex
0	5568	879	PRKAC-AKAP5-ADRB1 complex
0	5577	520	KCNQ1 macromolecular complex
0	5605	5920	KSR1-RAF1-MEK complex
0	5605	5921	KSR1-BRAF-MEK complex
0	5894	5919	BRAF-RAF1-14-3-3 complex
0	5894	5920	KSR1-RAF1-MEK complex
0	5894	5922	RAF1-RAS complex, EGF induced
0	5921	2581	RasGAP-AURKA/AURKB-survivin complex
0	5928	632	Anti-HDAC2 complex
0	5928	649	HDAC1-associated core complex cII
0	5928	650	HDAC2-asscociated core complex
0	5928	888	MTA2 complex
0	5928	2721	HCF-1 complex
0	5928	3149	NK-3-Groucho-HIPK2-SIN3A-RbpA48-HDAC1 complex
0	5931	632	Anti-HDAC2 complex
0	5931	649	HDAC1-associated core complex cII
0	5931	650	HDAC2-asscociated core complex
0	5931	888	MTA2 complex
0	5931	2721	HCF-1 complex
0	5976	784	SMG-1-Upf1-eRF1-eRF3 complex (SURF)
0	5981	1098	DNA synthesome complex (13 subunits)
0	5981	1099	DNA synthesome complex (17 subunits)
0	5981	1111	DNA synthesome complex (17 subunits)
