uniprot_id	gene_name
Q96IC2	44M2.3
O75203	A-923A4.2
P04217	A1BG
Q9NQ94	A1CF
F8W9F8	A1CF
Q5T0W7	A1CF
P01023	A2M
H0YFH1	A2M
F5H1E8	A2M
F8W7L3	A2M
H0YGH6	A2M
A8K2U0	A2ML1
F5H2Z2	A2ML1
H0YGG5	A2ML1
F5GXP1	A2ML1
F5GYG7	A2ML1
H0YH14	A2ML1
Q9NPC4	A4GALT
Q9UNA3	A4GNT
Q9NRG9	AAAS
F8VUB6	AAAS
H3BU82	AAAS
F8VZ44	AAAS
Q86V21	AACS
F5GYN1	AACS
F5H6X9	AACS
F5H8J5	AACS
F5GYW2	AACS
E7EW25	AACS
F5GWW7	AACS
F5H790	AACS
F5H4V2	AACS
F8W8B5	AACS
F5H3E3	AACS
P22760	AADAC
C9K0E9	AADAC
Q6P093	AADACL2
F8WFE5	AADACL2
Q5VUY0	AADACL3
Q5VUY2	AADACL4
Q8N5Z0	AADAT
D6REB9	AADAT
D6RC56	AADAT
D6RFY7	AADAT
Q7RTV5	AAED1
H0Y5J5	AAED1
H0Y7F1	AAED1
Q6PD74	AAGAB
B4DG44	AAGAB
H0YL49	AAGAB
Q2M2I8	AAK1
E9PG46	AAK1
Q9H7C9	AAMDC
K4DI89	AAMDC
E9PIQ4	AAMDC
E9PJP1	AAMDC
E9PLK9	AAMDC
H0YF35	AAMDC
E9PR47	AAMDC
E9PNP3	AAMDC
Q13685	AAMP
C9JEH3	AAMP
H7C0R2	AAMP
C9JG97	AAMP
C9JTS3	AAMP
Q16613	AANAT
J3KMZ5	AANAT
K7ESH7	AANAT
K7ERF6	AANAT
Q9Y312	AAR2
Q4LEZ3	AARD
P49588	AARS
H3BPK7	AARS
Q5JTZ9	AARS2
Q9BTE6	AARSD1
C9J5N1	AARSD1
L7N2F6	AARSD1
H7C054	AARSD1
C9JUA3	AARSD1
Q4L235	AASDH
G3V0G4	AASDH
D6RJA2	AASDH
E9PH98	AASDH
Q9NRN7	AASDHPPT
B4DDW7	AASDHPPT
E9PLW6	AASDHPPT
E9PNF3	AASDHPPT
Q9UDR5	AASS
F8WE53	AASS
H7C0C6	AASS
F8WAH1	AASS
Q9NY61	AATF
K7ERC2	AATF
K7EK88	AATF
K7ENE9	AATF
Q6ZMQ8	AATK
H7C175	AATK
I3L461	AATK
I3L360	AATK
P80404	ABAT
H3BP84	ABAT
H3BP74	ABAT
H3BMJ9	ABAT
H3BNQ7	ABAT
H3BRN4	ABAT
H3BRJ1	ABAT
H3BRT1	ABAT
H3BPW8	ABAT
O95477	ABCA1
B1AMI2	ABCA1
B1AMI1	ABCA1
Q8WWZ4	ABCA10
E5RFN6	ABCA10
K7ERP5	ABCA10
K7EMH5	ABCA10
E5RFP5	ABCA10
H0YBL8	ABCA10
Q4W5N1	ABCA11P
Q86UK0	ABCA12
E9PBK1	ABCA12
Q86UQ4	ABCA13
H7C0U5	ABCA13
F5H7B7	ABCA13
H0Y4D2	ABCA13
H7BZI9	ABCA13
Q9BZC7	ABCA2
H0Y8C9	ABCA2
Q5SPZ6	ABCA2
J3QSS3	ABCA2
F8WBD2	ABCA2
H0Y8E3	ABCA2
H0Y8D6	ABCA2
E7EU84	ABCA2
E9PGB2	ABCA2
H7C5M6	ABCA2
H7C510	ABCA2
Q99758	ABCA3
Q6P5P9	ABCA3
H0Y3H2	ABCA3
H3BTP1	ABCA3
P78363	ABCA4
B4DWY6	ABCA4
F5H6E5	ABCA4
F5H5R2	ABCA4
Q8WWZ7	ABCA5
E7ETD3	ABCA5
K7EJW6	ABCA5
K7ENF9	ABCA5
K7EKS9	ABCA5
K7EPM3	ABCA5
K7EMV2	ABCA5
K7EQ50	ABCA5
Q8N139	ABCA6
Q8IZY2	ABCA7
E9PL63	ABCA7
E9PKG5	ABCA7
H0YF58	ABCA7
H0YCN5	ABCA7
O94911	ABCA8
C9JQE6	ABCA8
K7ELK9	ABCA8
Q8IUA7	ABCA9
K7EJJ0	ABCA9
H0Y4U7	ABCA9
P08183	ABCB1
B5AK60	ABCB1
E7ENX5	ABCB1
E7EWT8	ABCB1
Q9NRK6	ABCB10
O95342	ABCB11
H7C486	ABCB11
P21439	ABCB4
A4D1D5	ABCB4
E7EQI1	ABCB4
