a	b	c	IP	PR_97	PR_131	PR_204	PR_202	PR_43	PR_44	PR_45	PR_46	PR_80	PR_114	PR_227	PR_149	PR_90	PR_245	RT_98	RT_115	RT_132	RT_150	RT_206	RT_79	RT_208	RT_228	RT_51	RT_52	RT_53	RT_54	RT_89	RT_218	GP41_160	GP41_192	GP41_229	GP41_107	GP41_142	GP41_15	GP41_16	GP41_17	GP41_18	GP41_124	GP41_191	VPR_64	VPR_65	VPR_66	VPR_101	VPR_214	VPR_135	VPR_75	VPR_230	VPR_176	VPR_210	VPR_85	VPR_118	VPR_213	VPR_153	VPR_182	VPR_63	TAT_224	TAT_219	TAT_103	TAT_137	TAT_55	TAT_77	TAT_120	TAT_211	TAT_87	TAT_56	TAT_57	TAT_58	TAT_155	TAT_231	NEF_32	NEF_33	NEF_34	NEF_197	NEF_200	NEF_105	NEF_139	NEF_76	NEF_216	NEF_178	NEF_86	NEF_184	NEF_122	NEF_232	NEF_157	NEF_31	P6_198	P6_129	P6_35	P6_36	P6_37	P6_38	P6_233	P6_112	P6_147	P6_223	P6_95	CA_1	CA_2	CA_3	CA_4	CA_234	CA_110	CA_145	CA_185	CA_93	CA_127	NC_128	NC_199	NC_235	NC_111	NC_222	NC_146	NC_30	NC_27	NC_28	NC_29	NC_94	REV_104	REV_138	REV_236	REV_205	REV_78	REV_47	REV_48	REV_49	REV_50	REV_217	REV_88	REV_121	REV_207	REV_156	GP120_7	GP120_8	GP120_9	GP120_10	GP120_141	GP120_237	GP120_188	GP120_159	GP160_140	GP160_106	GP160_11	GP160_12	GP160_13	GP160_14	GP160_238	GP160_190	GP160_123	GP160_189	GP160_158	POL_96	POL_130	POL_39	POL_40	POL_41	POL_42	POL_203	POL_239	POL_113	POL_148	POL_201	VPU_240	VPU_226	VPU_67	VPU_68	VPU_69	VPU_70	VPU_136	VPU_73	VPU_183	VPU_163	VPU_177	VPU_83	VPU_119	VPU_169	VPU_154	VPU_102	VPU_215	IN_193	IN_162	IN_99	IN_196	IN_133	IN_241	IN_72	IN_194	IN_174	IN_180	IN_168	IN_82	IN_19	IN_20	IN_21	IN_22	IN_151	IN_116	GAG_161	GAG_187	GAG_5	GAG_6	GAG_71	GAG_167	GAG_108	GAG_173	GAG_143	GAG_81	GAG_242	GAG_179	GAG_186	GAG_91	GAG_220	GAG_125	MA_195	MA_109	MA_144	MA_243	MA_23	MA_24	MA_25	MA_26	MA_92	MA_221	MA_126	VIF_225	VIF_100	VIF_166	VIF_134	VIF_74	VIF_172	VIF_175	VIF_209	VIF_84	VIF_117	VIF_152	VIF_212	VIF_244	VIF_59	VIF_60	VIF_61	VIF_62	VIF_181	
a	b	c	Bait	PR	PR	PR	PR	PR	PR	PR	PR	PR	PR	PR	PR	PR	PR	RT	RT	RT	RT	RT	RT	RT	RT	RT	RT	RT	RT	RT	RT	GP41	GP41	GP41	GP41	GP41	GP41	GP41	GP41	GP41	GP41	GP41	VPR	VPR	VPR	VPR	VPR	VPR	VPR	VPR	VPR	VPR	VPR	VPR	VPR	VPR	VPR	VPR	TAT	TAT	TAT	TAT	TAT	TAT	TAT	TAT	TAT	TAT	TAT	TAT	TAT	TAT	NEF	NEF	NEF	NEF	NEF	NEF	NEF	NEF	NEF	NEF	NEF	NEF	NEF	NEF	NEF	NEF	P6	P6	P6	P6	P6	P6	P6	P6	P6	P6	P6	CA	CA	CA	CA	CA	CA	CA	CA	CA	CA	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	REV	REV	REV	REV	REV	REV	REV	REV	REV	REV	REV	REV	REV	REV	GP120	GP120	GP120	GP120	GP120	GP120	GP120	GP120	GP160	GP160	GP160	GP160	GP160	GP160	GP160	GP160	GP160	GP160	GP160	POL	POL	POL	POL	POL	POL	POL	POL	POL	POL	POL	VPU	VPU	VPU	VPU	VPU	VPU	VPU	VPU	VPU	VPU	VPU	VPU	VPU	VPU	VPU	VPU	VPU	IN	IN	IN	IN	IN	IN	IN	IN	IN	IN	IN	IN	IN	IN	IN	IN	IN	IN	GAG	GAG	GAG	GAG	GAG	GAG	GAG	GAG	GAG	GAG	GAG	GAG	GAG	GAG	GAG	GAG	MA	MA	MA	MA	MA	MA	MA	MA	MA	MA	MA	VIF	VIF	VIF	VIF	VIF	VIF	VIF	VIF	VIF	VIF	VIF	VIF	VIF	VIF	VIF	VIF	VIF	VIF	
a	b	c	Tag	POL	POL	POL	POL	POL	POL	POL	POL	POL	POL	POL	POL	POL	POL	POL	POL	POL	POL	POL	POL	POL	POL	POL	POL	POL	POL	POL	POL	GP160	GP160	GP160	GP160	GP160	GP160	GP160	GP160	GP160	GP160	GP160	VPR	VPR	VPR	VPR	VPR	VPR	VPR	VPR	VPR	VPR	VPR	VPR	VPR	VPR	VPR	VPR	TAT	TAT	TAT	TAT	TAT	TAT	TAT	TAT	TAT	TAT	TAT	TAT	TAT	TAT	NEF	NEF	NEF	NEF	NEF	NEF	NEF	NEF	NEF	NEF	NEF	NEF	NEF	NEF	NEF	NEF	GAG	GAG	GAG	GAG	GAG	GAG	GAG	GAG	GAG	GAG	GAG	GAG	GAG	GAG	GAG	GAG	GAG	GAG	GAG	GAG	GAG	GAG	GAG	GAG	GAG	GAG	GAG	GAG	GAG	GAG	GAG	GAG	REV	REV	REV	REV	REV	REV	REV	REV	REV	REV	REV	REV	REV	REV	GP160	GP160	GP160	GP160	GP160	GP160	GP160	GP160	GP41|GP120	GP41|GP120	GP41|GP120	GP41|GP120	GP41|GP120	GP41|GP120	GP41|GP120	GP41|GP120	GP41|GP120	GP41|GP120	GP41|GP120	IN|RT|PR|POL	IN|RT|PR|POL	IN|RT|PR|POL	IN|RT|PR|POL	IN|RT|PR|POL	IN|RT|PR|POL	IN|RT|PR	IN|RT|PR	IN|RT|PR	IN|RT|PR	IN|RT|PR	VPU	VPU	VPU	VPU	VPU	VPU	VPU	VPU	VPU	VPU	VPU	VPU	VPU	VPU	VPU	VPU	VPU	POL	POL	POL	POL	POL	POL	POL	POL	POL	POL	POL	POL	POL	POL	POL	POL	POL	POL	CA|MA|NC|P6|GAG	CA|MA|NC|P6|GAG	CA|MA|NC|P6|GAG	CA|MA|NC|P6|GAG	CA|MA|NC|P6|GAG	CA|MA|NC|P6|GAG	CA|MA|NC|P6|GAG	CA|MA|NC|P6|GAG	CA|MA|NC|P6|GAG	CA|MA|NC|P6|GAG	CA|MA|NC|P6|GAG	CA|MA|NC|P6|GAG	CA|MA|NC|P6|GAG	CA|MA|NC|P6|GAG	CA|MA|NC|P6|GAG	CA|MA|NC|P6|GAG	GAG	GAG	GAG	GAG	GAG	GAG	GAG	GAG	GAG	GAG	GAG	VIF	VIF	VIF	VIF	VIF	VIF	VIF	VIF	VIF	VIF	VIF	VIF	VIF	VIF	VIF	VIF	VIF	VIF	
19172948	0	232	N	0.0	0.0	32.52	198.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	278.49	0.0	33.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	81.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	135.89	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6203184.0	0.0	0.0	46.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	172.2	26338.0	0.0	125343.0	0.0	0.0	12844.0	16870.0	42769.0	195.17	0.0	327436425.0	232399341.0	2679752.0	364616285.0	52782123.0	186694935.0	130985707.0	33343.99	413291598.0	415041524.0	889912.0	1886.1	214103.0	156802.0	62.58	1545388.0	0.0	939729.0	0.0	0.0	244861.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	63.11	0.0	0.0	0.0	0.0	213997.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	156064.0	252.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	74.52	0.0	0.0	0.0	247.59	0.0	0.0	0.0	0.0	0.0	7656.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18103007.0	7292.14	47068841.0	46735353.0	16555336.0	4209499.0	157090830.0	131097520.0	35718171.0	45802634.0	8292279.0	34897627.0	24440.14	147749264.0	15787.14	68682040.0	369.62	146520.0	21648.0	128146.0	0.0	0.0	0.0	0.0	1338386.0	3626.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	172.41	0.0	0.0	0.0	0.0	0.0	0.0
19172949	0	55	N	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	159.5	0.0	0.0	0.0	0.0	0.0	0.0	10904.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10483.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	95.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
19172951	0	53	N	0.0	92593.0	0.0	37.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	156796.0	0.0	0.0	0.0	0.0	0.0	34229.0	54.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4594000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10631.87	229344498.0	179700355.0	104430175.0	207466437.0	28873213.0	2563731.0	36152679.0	124737703.0	3261.47	19826139.0	0.0	0.0	0.0	0.0	0.0	0.0	11577.0	0.0	0.0	0.0	0.0	91.1	0.0	0.0	84.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	155066.0	242899.0	0.0	0.0	45444.0	0.0	0.0	8795.0	432798.0	161.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	77.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12063.0	0.0	314335.0	1728.99	18020000.0	18340000.0	3391000.0	0.0	26443201.0	23040699.0	27604547.0	11728168.0	432950.0	3815971.0	2159.5	28516494.0	3387.48	7325691.0	25.3	8292.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1156.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
19172954	0	346	N	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8488695.0	4206.87	242702.0	53121436.0	34571831.0	4053231.0	20619133.0	20145094.0	9671860.0	26578137.0	21674.06	0.0	0.0	0.0	0.0	103.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	286.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	852.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	107.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	103.2	0.0	29036881.0	28287591.0	5505440.0	5622797.0	4157915.0	11664786.0	3238679.0	2002.2	14966692.0	12474.49	612378.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	243.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
21898538	0	1550	N	0.0	0.0	222.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1475.0	0.0	0.0	0.0	0.0	1162.0	0.0	8917.0	0.0	0.0	0.0	0.0	0.0	0.0	5341.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	117.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	316.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	178.0	0.0	0.0	0.0	0.0	0.0	106.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	176.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13306.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1784.88	0.0	196.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25121906	0	100	N	447253572.0	239224000.0	4246.02	13795.94	174291083.0	175440141.0	90395469.0	339726934.0	20911620.0	26592484.0	21090729.0	122066952.0	23419000.0	17062.46	4181.0	567241.0	3406918.0	2652772.0	3459.25	0.0	116.34	463.5	1876863.0	0.0	0.0	372138.0	0.0	1758.22	4440.0	81.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	142.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	90.79	0.0	126907.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	151.93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	88.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	71.92	0.0	0.0	0.0	77575804.0	38345126.0	5895694.0	35139307.0	0.0	19469551.0	3552.6	190144.0	72091432.0	1343633.0	14104.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	77.84	45.92	0.0	0.0	1469.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22032.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	91.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	98.12	0.0	23.33	0.0	0.0	164771.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	271.59	0.0	0.0	0.0	0.0	0.0	0.0
25121907	0	561	N	2258448.0	0.0	1808.24	944.79	1145932.0	0.0	0.0	0.0	6707704.0	850001.0	0.0	0.0	8029071.0	4885.96	693616668.0	448997023.0	319677388.0	22936315.0	13470.51	163395419.0	61150.45	104342236.0	602283918.0	514057019.0	724369911.0	642216456.0	381431509.0	45556.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	409.58	0.0	0.0	0.0	0.0	0.0	0.0	457330.0	0.0	0.0	0.0	0.0	90.39	62.96	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	145.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1254.93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	380.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3673.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	515549643.0	108884587.0	77475820.0	236411906.0	106779309.0	210629066.0	61604.35	11560364.0	330760152.0	35075848.0	22308.27	63931.0	461.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14302.12	0.0	1184577.0	0.0	649601.0	1560241.0	0.0	0.0	0.0	0.0	0.0	0.0	4261758.0	0.0	0.0	534221.0	15465.0	7487899.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	779.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	832.14	0.0	986.35	323113.0	0.0	250702.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25121908	0	289	N	23281.0	0.0	395.58	708.3	516066.0	0.0	158144.0	0.0	0.0	1135578.0	5220.0	17694.0	0.0	0.0	65850.0	0.0	0.0	0.0	24.21	1125000.0	369.13	0.0	0.0	0.0	0.0	0.0	0.0	31.87	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	854545.0	291189.0	0.0	314280.0	52.0	0.0	48990.0	14079.0	80626.0	0.0	20169.0	1526189.0	25.52	0.0	0.0	2231285.0	0.0	0.0	0.0	0.0	107435.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	103736.0	46055.0	0.0	0.0	0.0	18341.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	279.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	57.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	195046.0	0.0	0.0	0.0	26538.0	306.9	0.0	46554819.0	54128837.0	47594526.0	66904646.0	20072531.0	57765710.0	30747.19	1636949.0	51851452.0	5600933.0	8502.34	4033.0	122.8	214357.0	0.0	0.0	0.0	0.0	976420.0	0.0	0.0	63094.0	763764.0	1009037.0	0.0	0.0	135519.0	0.0	25576.44	43375791.0	99917578.0	18297.41	152089609.0	7600567.0	27013139.0	20058.96	107125017.0	28302220.0	51243388.0	114839584.0	312740607.0	104440860.0	104741654.0	222139950.0	28476055.0	226023665.0	0.0	520.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	82.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	140.05	0.0	834.24	2283215.0	0.0	6163719.0	144930.0	0.0	6278987.0	0.0	291132.0	1896947.0	80536.0	308.41	17123.0	7735151.0	12665705.0	585574.0	2583919.0	2176458.0
28872817	0	78	N	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	900503.0	1394.47	6459541.0	0.0	0.0	1476346.0	306.0	1014885.0	0.0	2296.0	5743902.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
28872818	0	206	N	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	306.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3962.1	0.0	0.0	0.0	0.0	0.0	0.0	47095.0	0.0	0.0	0.0	0.0	0.0	269251556.0	148358208.0	84175102.0	10111.23	14420.68	178764643.0	171384452.9	33099417.0	19676.48	204100708.0	217977866.0	45278981.0	97405000.0	622051.0	11878530.0	151913864.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51010.0	0.0	0.0	0.0	0.0	0.0	0.0	99808.0	0.0	15151.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
