Bait	Prey	MiST score
CA	19172949	0.00000
CA	19172954	0.00000
CA	21898538	0.00000
CA	25121906	0.00000
CA	25121907	0.00000
CA	25121908	0.00000
CA	28872817	0.00000
CA	28872818	0.00000
CA	28872818.1	0.00000
CA	28876544	0.00000
CA	9628881	0.00000
CA	9629358	0.00000
CA	9629359	0.00000
CA	9629361	0.00000
CA	9629366	0.00000
CA	A0FGR8	0.00000
CA	A1L0T0	0.00000
CA	A1L390	0.00000
CA	A2RRP1	0.00000
CA	A4D1E9	0.00000
CA	A5A3E0	0.00000
CA	A6NCS4	0.00000
CA	A6NHL2	0.00000
CA	A6ZKI3	0.00000
CA	O00116	0.00000
CA	O00139	0.00000
CA	O00141	0.00000
CA	O00148	0.00000
CA	O00165	0.00000
CA	O00178	0.00000
CA	O00213	0.00000
CA	O00217	0.00000
CA	O00221	0.00000
CA	O00222	0.00000
CA	O00231	0.00000
CA	O00232	0.00000
CA	O00264	0.00000
CA	O00267	0.00000
CA	O00303	0.00000
CA	O00410	0.00000
CA	O00411	0.00000
CA	O00425	0.00000
CA	O00468	0.00000
CA	O00469	0.00000
CA	O00483	0.00000
CA	O00487	0.00000
CA	O00507	0.00000
CA	O00541	0.00000
CA	O00560	0.00000
CA	O00567	0.00000
CA	O00571	0.00000
CA	O00743	0.00000
CA	O14490	0.00000
CA	O14519	0.00000
CA	O14545	0.00000
CA	O14562	0.00000
CA	O14569	0.00000
CA	O14579	0.00000
CA	O14647	0.00000
CA	O14654	0.00000
CA	O14656	0.00000
CA	O14734	0.00000
CA	O14735	0.00000
CA	O14744	0.00000
CA	O14787	0.00000
CA	O14802	0.00000
CA	O14813	0.00000
CA	O14818	0.00000
CA	O14828	0.00000
CA	O14880	0.00000
CA	O14893	0.00000
CA	O14920	0.00000
CA	O14925	0.00000
CA	O14929	0.00000
CA	O14949	0.00000
CA	O14966	0.00000
CA	O14967	0.00000
CA	O14974	0.00000
CA	O14976	0.00000
CA	O14979	0.00000
CA	O14980	0.00000
CA	O14983	0.00000
CA	O15014	0.00000
CA	O15027	0.00000
CA	O15042	0.00000
CA	O15047	0.00000
CA	O15116	0.00000
CA	O15160	0.00000
CA	O15162	0.00000
CA	O15173	0.00000
CA	O15226	0.00000
CA	O15228	0.00000
CA	O15235	0.00000
CA	O15264	0.00000
CA	O15269	0.00000
CA	O15355	0.00000
CA	O15360	0.00000
CA	O15371	0.00000
CA	O15372	0.00000
CA	O15397	0.00000
CA	O15440	0.00000
CA	O15446	0.00000
CA	O15460	0.00000
CA	O15504	0.00000
CA	O15511	0.00000
CA	O15523	0.00000
CA	O43143	0.00000
CA	O43149	0.00000
CA	O43169	0.00000
CA	O43172	0.00000
CA	O43175	0.00000
CA	O43237	0.00000
