Entry	Entry name	Status	Protein names	Gene names	Organism	Length
Q6G1D3	ACCD_BARQU	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta (ACCase subunit beta) (Acetyl-CoA carboxylase carboxyltransferase subunit beta) (EC 6.4.1.2)	accD BQ00320	Bartonella quintana (strain Toulouse) (Rochalimaea quintana)	306
Q6G084	ACPS_BARQU	reviewed	Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS)	acpS BQ04260	Bartonella quintana (strain Toulouse) (Rochalimaea quintana)	133
Q6G056	ACP_BARQU	reviewed	Acyl carrier protein (ACP)	acpP BQ04540	Bartonella quintana (strain Toulouse) (Rochalimaea quintana)	78
Q6FYL4	ACSA_BARQU	reviewed	Acetyl-coenzyme A synthetase (AcCoA synthetase) (Acs) (EC 6.2.1.1) (Acetate--CoA ligase) (Acyl-activating enzyme)	acsA BQ12330	Bartonella quintana (strain Toulouse) (Rochalimaea quintana)	652
Q6G1F7	ARGB_BARQU	reviewed	Acetylglutamate kinase (EC 2.7.2.8) (N-acetyl-L-glutamate 5-phosphotransferase) (NAG kinase) (AGK)	argB BQ00620	Bartonella quintana (strain Toulouse) (Rochalimaea quintana)	301
Q6G0Q6	ARGJ_BARQU	reviewed	Arginine biosynthesis bifunctional protein ArgJ [Cleaved into: Arginine biosynthesis bifunctional protein ArgJ alpha chain; Arginine biosynthesis bifunctional protein ArgJ beta chain] [Includes: Glutamate N-acetyltransferase (EC 2.3.1.35) (Ornithine acetyltransferase) (OATase) (Ornithine transacetylase); Amino-acid acetyltransferase (EC 2.3.1.1) (N-acetylglutamate synthase) (AGSase)]	argJ BQ01890	Bartonella quintana (strain Toulouse) (Rochalimaea quintana)	412
Q6G0X3	AROA_BARQU	reviewed	3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS)	aroA BQ00880	Bartonella quintana (strain Toulouse) (Rochalimaea quintana)	442
Q6G1H4	AROB_BARQU	reviewed	3-dehydroquinate synthase (EC 4.2.3.4)	aroB BQ13280	Bartonella quintana (strain Toulouse) (Rochalimaea quintana)	377
Q6G0D7	AROC_BARQU	reviewed	Chorismate synthase (EC 4.2.3.5) (5-enolpyruvylshikimate-3-phosphate phospholyase)	aroC BQ03510	Bartonella quintana (strain Toulouse) (Rochalimaea quintana)	366
Q6G1B5	AROE_BARQU	reviewed	Shikimate dehydrogenase (EC 1.1.1.25)	aroE BQ00030	Bartonella quintana (strain Toulouse) (Rochalimaea quintana)	293
Q6G1H5	AROK_BARQU	reviewed	Shikimate kinase (SK) (EC 2.7.1.71)	aroK BQ13270	Bartonella quintana (strain Toulouse) (Rochalimaea quintana)	210
Q6G0H3	ATP6_BARQU	reviewed	ATP synthase subunit a (ATP synthase F0 sector subunit a) (F-ATPase subunit 6)	atpB BQ03130	Bartonella quintana (strain Toulouse) (Rochalimaea quintana)	252
Q6FYM1	ATPA_BARQU	reviewed	ATP synthase subunit alpha (EC 3.6.3.14) (ATP synthase F1 sector subunit alpha) (F-ATPase subunit alpha)	atpA BQ12250	Bartonella quintana (strain Toulouse) (Rochalimaea quintana)	511
