Entry	Entry name	Status	Protein names	Gene names	Organism	Length
Q4R5S2	Q4R5S2_MACFA	unreviewed	Testis cDNA, clone: QtsA-21327, similar to human KSHV latent nuclear antigen interacting protein 1(KLIP1),		Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	31
Q5JCS5	Q5JCS5_MOUSE	unreviewed	Vascular endothelial growth factor receptor-3 (Fragment)	Flt4	Mus musculus (Mouse)	18
D0UZP9	D0UZP9_HHV8	unreviewed	Core gene UL12 family protein (ORF37)	ORF37	Human herpesvirus 8 (HHV-8) (Kaposi's sarcoma-associated herpesvirus)	486
Q76RF7	Q76RF7_HHV8	unreviewed	Core gene UL40 family protein (ORF 60) (ORF60)	ORF60	Human herpesvirus 8 (HHV-8) (Kaposi's sarcoma-associated herpesvirus)	305
O40918	O40918_HHV8	unreviewed	Interleukin-6 (ORF K2)	K2	Human herpesvirus 8 (HHV-8) (Kaposi's sarcoma-associated herpesvirus)	204
Q76RG8	Q76RG8_HHV8	unreviewed	Core gene UL2 family protein (ORF 46) (ORF46)	ORF46	Human herpesvirus 8 (HHV-8) (Kaposi's sarcoma-associated herpesvirus)	255
F5HFL9	F5HFL9_HHV8	unreviewed	K4 (K4 protein)	K4	Human herpesvirus 8 (HHV-8) (Kaposi's sarcoma-associated herpesvirus)	94
Q76RH4	Q76RH4_HHV8	unreviewed	Core gene UL13 family protein (ORF 36) (ORF36)	ORF36	Human herpesvirus 8 (HHV-8) (Kaposi's sarcoma-associated herpesvirus)	444
Q76SF8	Q76SF8_HHV8	unreviewed	G protein-coupled receptor (IL-8 receptor-like G protein coupled receptor homolog) (ORF74) (Putative G-protein coupled receptor)		Human herpesvirus 8 (HHV-8) (Kaposi's sarcoma-associated herpesvirus)	342
Q77Q82	Q77Q82_HHV8	unreviewed	K9 (Latent viral interferon regulatory factor) (Lytic viral interferon regulatory factor) (ORF K9) (VIRF-1 protein)	vIRF vIRF-1	Human herpesvirus 8 (HHV-8) (Kaposi's sarcoma-associated herpesvirus)	449
Q9WHC6	Q9WHC6_HHV8	unreviewed	K1 (K1 glycoprotein)	K1	Human herpesvirus 8 (HHV-8) (Kaposi's sarcoma-associated herpesvirus)	284
O40948	O40948_HHV8	unreviewed	K14 (K14 protein)	K14	Human herpesvirus 8 (HHV-8) (Kaposi's sarcoma-associated herpesvirus)	271
P88968	P88968_HHV8	unreviewed	BCK protein (K4.1) (K4.1 protein) (ORF K4.1)	BCK K4.1	Human herpesvirus 8 (HHV-8) (Kaposi's sarcoma-associated herpesvirus)	114
Q9WHC0	Q9WHC0_HHV8	unreviewed	K1 glycoprotein (K1 protein)	K1	Human herpesvirus 8 (HHV-8) (Kaposi's sarcoma-associated herpesvirus)	289
F5H9K4	F5H9K4_HHV8	unreviewed	K5 (Membrane protein)	K5	Human herpesvirus 8 (HHV-8) (Kaposi's sarcoma-associated herpesvirus)	256
Q76RI8	Q76RI8_HHV8	unreviewed	Bcl-2 (ORF 16) (ORF16) (ORF16 protein) (Uncharacterized protein)	ORF16	Human herpesvirus 8 (HHV-8) (Kaposi's sarcoma-associated herpesvirus)	175
Q9WHH9	Q9WHH9_HHV8	unreviewed	K1 glycoprotein (Transforming membrane receptor-like protein)	K1-A4	Human herpesvirus 8 (HHV-8) (Kaposi's sarcoma-associated herpesvirus)	285
F5HBL8	F5HBL8_HHV8	unreviewed	ORF52 (ORF52 protein)	ORF52	Human herpesvirus 8 (HHV-8) (Kaposi's sarcoma-associated herpesvirus)	131
F5HBQ9	F5HBQ9_HHV8	unreviewed	Thymidylate synthase (EC 2.1.1.45)	ORF70	Human herpesvirus 8 (HHV-8) (Kaposi's sarcoma-associated herpesvirus)	337
Q4JFH2	Q4JFH2_HHV8	unreviewed	Ribonucleoside-diphosphate reductase (EC 1.17.4.1)	ORF61	Human herpesvirus 8 (HHV-8) (Kaposi's sarcoma-associated herpesvirus)	792
Q9WHC8	Q9WHC8_HHV8	unreviewed	K1 glycoprotein (K1 protein)	K1	Human herpesvirus 8 (HHV-8) (Kaposi's sarcoma-associated herpesvirus)	284
Q76RF1	Q76RF1_HHV8	unreviewed	FLICE inhibitory protein (ORF71) (ORF71 protein) (ORF71/K13) (Putative apoptosis inhibitor protein)	ORF71	Human herpesvirus 8 (HHV-8) (Kaposi's sarcoma-associated herpesvirus)	188
Q76RJ0	Q76RJ0_HHV8	unreviewed	Interleukin 8-like CC chemikine (K6) (ORF K6) (Uncharacterized protein) (V-MIP 1-alpha) (VMIP-1A)	K6	Human herpesvirus 8 (HHV-8) (Kaposi's sarcoma-associated herpesvirus)	95
O40919	O40919_HHV8	unreviewed	Dihydrofolate reductase (ORF 02)	ORF2	Human herpesvirus 8 (HHV-8) (Kaposi's sarcoma-associated herpesvirus)	210
Q98143	Q98143_HHV8	unreviewed	Core gene UL23 family protein (ORF 21) (ORF21) (Thymidine kinase)	ORF21	Human herpesvirus 8 (HHV-8) (Kaposi's sarcoma-associated herpesvirus)	580
Q98832	Q98832_HHV8	unreviewed	Similar to Saimirine herpesvirus ORF 26 protein (Virion protein)		Human herpesvirus 8 (HHV-8) (Kaposi's sarcoma-associated herpesvirus)	305
F5HH36	F5HH36_HHV8	unreviewed	Core gene UL5 family protein (ORF44)	ORF44	Human herpesvirus 8 (HHV-8) (Kaposi's sarcoma-associated herpesvirus)	788
Q98142	Q98142_HHV8	unreviewed	Core gene UL22 family protein (Glycoprotein H) (Glycoprotein gH) (ORF 22) (ORF22)	ORF22	Human herpesvirus 8 (HHV-8) (Kaposi's sarcoma-associated herpesvirus)	730
C7E599	C7E599_HHV8	unreviewed	Core gene UL18 family protein (ORF26) (Putative minor capsid protein)	ORF26	Human herpesvirus 8 (HHV-8) (Kaposi's sarcoma-associated herpesvirus)	305
D0UZU4	D0UZU4_HHV8	unreviewed	ORF75 (ORF75 protein)	ORF75	Human herpesvirus 8 (HHV-8) (Kaposi's sarcoma-associated herpesvirus)	1296
F5H9D8	F5H9D8_HHV8	unreviewed	K10 (VIRF-4 protein)	vIRF-4	Human herpesvirus 8 (HHV-8) (Kaposi's sarcoma-associated herpesvirus)	911
F5H9G3	F5H9G3_HHV8	unreviewed	K11 (V-IRF-2 protein)	vIRF-2	Human herpesvirus 8 (HHV-8) (Kaposi's sarcoma-associated herpesvirus)	680
O40929	O40929_HHV8	unreviewed	Core gene UL16 family protein (ORF 33)	ORF33	Human herpesvirus 8 (HHV-8) (Kaposi's sarcoma-associated herpesvirus)	334
Q76RH1	Q76RH1_HHV8	unreviewed	Core gene UL7 family protein (ORF 42)	ORF42	Human herpesvirus 8 (HHV-8) (Kaposi's sarcoma-associated herpesvirus)	278
Q98136	Q98136_HHV8	unreviewed	Gene 30 protein (ORF 30) (ORF30) (ORF30 protein)	ORF30	Human herpesvirus 8 (HHV-8) (Kaposi's sarcoma-associated herpesvirus)	77
Q76RI9	Q76RI9_HHV8	unreviewed	K7 (K7 protein) (ORF K7)	K7	Human herpesvirus 8 (HHV-8) (Kaposi's sarcoma-associated herpesvirus)	126
Q98138	Q98138_HHV8	unreviewed	Gene 27 protein (ORF27) (ORF27 protein)	ORF27	Human herpesvirus 8 (HHV-8) (Kaposi's sarcoma-associated herpesvirus)	290
Q9WNA8	Q9WNA8_HHV8	unreviewed	K15 (K15 protein) (LAMP) (Latent membrane protein)	K15-P K15	Human herpesvirus 8 (HHV-8) (Kaposi's sarcoma-associated herpesvirus)	489
E5LBU3	E5LBU3_HHV8	unreviewed	ORF20 protein	ORF20 ORF19	Human herpesvirus 8 (HHV-8) (Kaposi's sarcoma-associated herpesvirus)	257
O40928	O40928_HHV8	unreviewed	Core gene UL15 family protein (ORF 29) (ORF29)	ORF29	Human herpesvirus 8 (HHV-8) (Kaposi's sarcoma-associated herpesvirus)	687
Q9DGT3	Q9DGT3_HHV8	unreviewed	K1 protein	K1	Human herpesvirus 8 (HHV-8) (Kaposi's sarcoma-associated herpesvirus)	284
Q9DH11	Q9DH11_HHV8	unreviewed	K1 protein	K1	Human herpesvirus 8 (HHV-8) (Kaposi's sarcoma-associated herpesvirus)	289
O40931	O40931_HHV8	unreviewed	Core gene UL10 family protein (Envelope glycoprotein gM) (Glycoprotein M) (ORF39)	ORF39	Human herpesvirus 8 (HHV-8) (Kaposi's sarcoma-associated herpesvirus)	400
Q76RG7	Q76RG7_HHV8	unreviewed	Core gene UL1 family protein (Envelope glycoprotein gL) (ORF 47) (ORF47)	ORF46 ORF47	Human herpesvirus 8 (HHV-8) (Kaposi's sarcoma-associated herpesvirus)	167
Q77UV9	Q77UV9_HHV8	unreviewed	ORF 45 (ORF45) (ORF45 protein)	KIE-2 ORF45	Human herpesvirus 8 (HHV-8) (Kaposi's sarcoma-associated herpesvirus)	407
Q98131	Q98131_HHV8	unreviewed	Gene 34 protein (ORF 34) (ORF34) (ORF34 protein)	ORF34	Human herpesvirus 8 (HHV-8) (Kaposi's sarcoma-associated herpesvirus)	327
D0UZN0	D0UZN0_HHV8	unreviewed	ORF18 (ORF18 protein)	ORF18	Human herpesvirus 8 (HHV-8) (Kaposi's sarcoma-associated herpesvirus)	257
O92597	O92597_HHV8	unreviewed	K8 alpha (K8 protein) (Putative bZIP transcription factor)	k8 KIE-1	Human herpesvirus 8 (HHV-8) (Kaposi's sarcoma-associated herpesvirus)	237
Q76RH5	Q76RH5_HHV8	unreviewed	Core gene UL14 family protein (ORF 35) (ORF35)	ORF35	Human herpesvirus 8 (HHV-8) (Kaposi's sarcoma-associated herpesvirus)	150
Q9DUN1	Q9DUN1_HHV8	unreviewed	Interferon regulatory factor 3 (VIRF-3 protein)	vIRF-3	Human herpesvirus 8 (HHV-8) (Kaposi's sarcoma-associated herpesvirus)	566
E5LBZ1	E5LBZ1_HHV8	unreviewed	Core gene UL36 family protein	ORF64	Human herpesvirus 8 (HHV-8) (Kaposi's sarcoma-associated herpesvirus)	2633
E5LBS6	E5LBS6_HHV8	unreviewed	ORF10 protein	ORF10	Human herpesvirus 8 (HHV-8) (Kaposi's sarcoma-associated herpesvirus)	418
E5LBS7	E5LBS7_HHV8	unreviewed	ORF11 protein	ORF11	Human herpesvirus 8 (HHV-8) (Kaposi's sarcoma-associated herpesvirus)	407
E5LBW3	E5LBW3_HHV8	unreviewed	Core gene UL8 family protein	ORF40	Human herpesvirus 8 (HHV-8) (Kaposi's sarcoma-associated herpesvirus)	669
E5LBZ3	E5LBZ3_HHV8	unreviewed	HHV-5 UL49-related protein	ORF66	Human herpesvirus 8 (HHV-8) (Kaposi's sarcoma-associated herpesvirus)	429
O40944	O40944_HHV8	unreviewed	Core gene UL33 family protein (ORF 67.5) (ORF67A)	ORF67A	Human herpesvirus 8 (HHV-8) (Kaposi's sarcoma-associated herpesvirus)	80
O40945	O40945_HHV8	unreviewed	Core gene UL31 family protein (ORF 69) (ORF69)	ORF69	Human herpesvirus 8 (HHV-8) (Kaposi's sarcoma-associated herpesvirus)	302
Q76RF3	Q76RF3_HHV8	unreviewed	Core gene UL34 family protein (ORF 67) (ORF67)	ORF67	Human herpesvirus 8 (HHV-8) (Kaposi's sarcoma-associated herpesvirus)	271
Q76RF6	Q76RF6_HHV8	unreviewed	Core gene UL38 family protein (ORF 62) (ORF62)	ORF62	Human herpesvirus 8 (HHV-8) (Kaposi's sarcoma-associated herpesvirus)	331
Q76RG1	Q76RG1_HHV8	unreviewed	Core gene UL52 family protein (DNA replication protein) (ORF56)	ORF56	Human herpesvirus 8 (HHV-8) (Kaposi's sarcoma-associated herpesvirus)	843
Q76RG2	Q76RG2_HHV8	unreviewed	Core gene UL51 family protein (ORF 55) (ORF55)	ORF55	Human herpesvirus 8 (HHV-8) (Kaposi's sarcoma-associated herpesvirus)	227
Q76RH0	Q76RH0_HHV8	unreviewed	Core gene UL6 family protein (ORF 43) (ORF43)	ORF43	Human herpesvirus 8 (HHV-8) (Kaposi's sarcoma-associated herpesvirus)	605
Q77ZG4	Q77ZG4_HHV8	unreviewed	Core gene UL43 family protein (ORF 58) (ORF58)	ORF58	Human herpesvirus 8 (HHV-8) (Kaposi's sarcoma-associated herpesvirus)	357
Q0GZS8	Q0GZS8_HHV8	unreviewed	K1 glycoprotein	K1	Human herpesvirus 8 (HHV-8) (Kaposi's sarcoma-associated herpesvirus)	284
Q0GZU5	Q0GZU5_HHV8	unreviewed	K1 glycoprotein	K1	Human herpesvirus 8 (HHV-8) (Kaposi's sarcoma-associated herpesvirus)	284
Q5ID27	Q5ID27_HHV8	unreviewed	K1 glycoprotein		Human herpesvirus 8 (HHV-8) (Kaposi's sarcoma-associated herpesvirus)	284
Q9DH54	Q9DH54_HHV8	unreviewed	K1 protein	K1	Human herpesvirus 8 (HHV-8) (Kaposi's sarcoma-associated herpesvirus)	284
Q0GZT0	Q0GZT0_HHV8	unreviewed	K1 glycoprotein	K1	Human herpesvirus 8 (HHV-8) (Kaposi's sarcoma-associated herpesvirus)	284
P88970	P88970_HHV8	unreviewed	ITAM-containing signal transducing membrane glycoprotein (K1 protein) (Kaposi's sarcoma-associated herpesvirus ORF K1)	K1	Human herpesvirus 8 (HHV-8) (Kaposi's sarcoma-associated herpesvirus)	289
E5LBX0	E5LBX0_HHV8	unreviewed	ORF48 protein	ORF48	Human herpesvirus 8 (HHV-8) (Kaposi's sarcoma-associated herpesvirus)	402
E5LBX1	E5LBX1_HHV8	unreviewed	ORF50 protein	ORF50	Human herpesvirus 8 (HHV-8) (Kaposi's sarcoma-associated herpesvirus)	691
