Entry	Entry name	Status	Protein names	Gene names	Organism	Length
P53455	ACT_AJECG	reviewed	Actin	HCBG_08711	Ajellomyces capsulata (strain G186AR / H82 / ATCC MYA-2454 / RMSCC 2432) (Darling's disease fungus) (Histoplasma capsulatum)	375
C0NCM1	ACUK_AJECG	reviewed	Transcription activator of gluconeogenesis HCBG_00867	HCBG_00867	Ajellomyces capsulata (strain G186AR / H82 / ATCC MYA-2454 / RMSCC 2432) (Darling's disease fungus) (Histoplasma capsulatum)	775
C0NDZ7	AMPP1_AJECG	reviewed	Probable Xaa-Pro aminopeptidase P (AMPP) (Aminopeptidase P) (EC 3.4.11.9) (Aminoacylproline aminopeptidase) (Prolidase)	AMPP HCBG_02090	Ajellomyces capsulata (strain G186AR / H82 / ATCC MYA-2454 / RMSCC 2432) (Darling's disease fungus) (Histoplasma capsulatum)	617
C0NF18	AMPP2_AJECG	reviewed	Probable Xaa-Pro aminopeptidase HCBG_01484 (EC 3.4.11.9) (Aminoacylproline aminopeptidase) (Prolidase)	HCBG_01484	Ajellomyces capsulata (strain G186AR / H82 / ATCC MYA-2454 / RMSCC 2432) (Darling's disease fungus) (Histoplasma capsulatum)	507
C0NIF0	AMPP3_AJECG	reviewed	Probable Xaa-Pro aminopeptidase PEPP (EC 3.4.11.9) (Aminoacylproline aminopeptidase) (Prolidase)	PEPP HCBG_02207	Ajellomyces capsulata (strain G186AR / H82 / ATCC MYA-2454 / RMSCC 2432) (Darling's disease fungus) (Histoplasma capsulatum)	469
C0NE02	ARGJ_AJECG	reviewed	Arginine biosynthesis bifunctional protein ArgJ, mitochondrial [Cleaved into: Arginine biosynthesis bifunctional protein ArgJ alpha chain; Arginine biosynthesis bifunctional protein ArgJ beta chain] [Includes: Glutamate N-acetyltransferase (GAT) (EC 2.3.1.35) (Ornithine acetyltransferase) (OATase) (Ornithine transacetylase); Amino-acid acetyltransferase (EC 2.3.1.1) (N-acetylglutamate synthase) (AGS)]	HCBG_02095	Ajellomyces capsulata (strain G186AR / H82 / ATCC MYA-2454 / RMSCC 2432) (Darling's disease fungus) (Histoplasma capsulatum)	473
C0NL63	ARO1_AJECG	reviewed	Pentafunctional AROM polypeptide [Includes: 3-dehydroquinate synthase (DHQS) (EC 4.2.3.4); 3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS); Shikimate kinase (SK) (EC 2.7.1.71); 3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10); Shikimate dehydrogenase (EC 1.1.1.25)]	HCBG_03893	Ajellomyces capsulata (strain G186AR / H82 / ATCC MYA-2454 / RMSCC 2432) (Darling's disease fungus) (Histoplasma capsulatum)	1595
C0NWC4	ATP25_AJECG	reviewed	ATPase synthesis protein 25, mitochondrial	ATP25 HCBG_07454	Ajellomyces capsulata (strain G186AR / H82 / ATCC MYA-2454 / RMSCC 2432) (Darling's disease fungus) (Histoplasma capsulatum)	731
P60206	CALM_AJECG	reviewed	Calmodulin (CaM)	CAM1 HCBG_07827	Ajellomyces capsulata (strain G186AR / H82 / ATCC MYA-2454 / RMSCC 2432) (Darling's disease fungus) (Histoplasma capsulatum)	149
O42720	CBP1_AJECG	reviewed	Calcium-binding protein (CBP)	CBP1 HCBG_05800	Ajellomyces capsulata (strain G186AR / H82 / ATCC MYA-2454 / RMSCC 2432) (Darling's disease fungus) (Histoplasma capsulatum)	110
C0NX46	CBPYA_AJECG	reviewed	Carboxypeptidase Y homolog A (EC 3.4.16.5)	CPYA HCBG_08038	Ajellomyces capsulata (strain G186AR / H82 / ATCC MYA-2454 / RMSCC 2432) (Darling's disease fungus) (Histoplasma capsulatum)	544
Q5RLY7	CDO_AJECG	reviewed	Cysteine dioxygenase (CDO) (EC 1.13.11.20)	CDO1 HCBG_06968	Ajellomyces capsulata (strain G186AR / H82 / ATCC MYA-2454 / RMSCC 2432) (Darling's disease fungus) (Histoplasma capsulatum)	213
C0NLX2	CHO2_AJECG	reviewed	Phosphatidylethanolamine N-methyltransferase (PEAMT) (EC 2.1.1.17)	CHO2 HCBG_04502	Ajellomyces capsulata (strain G186AR / H82 / ATCC MYA-2454 / RMSCC 2432) (Darling's disease fungus) (Histoplasma capsulatum)	978
C0NJU0	COQ4_AJECG	reviewed	Ubiquinone biosynthesis protein COQ4, mitochondrial (Coenzyme Q biosynthesis protein 4)	COQ4 HCBG_03420	Ajellomyces capsulata (strain G186AR / H82 / ATCC MYA-2454 / RMSCC 2432) (Darling's disease fungus) (Histoplasma capsulatum)	277
C0NWE3	CYNS_AJECG	reviewed	Cyanate hydratase (Cyanase) (EC 4.2.1.104) (Cyanate hydrolase) (Cyanate lyase)	CYN1 HCBG_07473	Ajellomyces capsulata (strain G186AR / H82 / ATCC MYA-2454 / RMSCC 2432) (Darling's disease fungus) (Histoplasma capsulatum)	163
C0NUQ8	DAPB_AJECG	reviewed	Probable dipeptidyl-aminopeptidase B (DPAP B) (EC 3.4.14.5)	DAPB HCBG_06672	Ajellomyces capsulata (strain G186AR / H82 / ATCC MYA-2454 / RMSCC 2432) (Darling's disease fungus) (Histoplasma capsulatum)	923
C0NQL8	DRE2_AJECG	reviewed	Fe-S cluster assembly protein DRE2 (Anamorsin homolog)	DRE2 HCBG_05298	Ajellomyces capsulata (strain G186AR / H82 / ATCC MYA-2454 / RMSCC 2432) (Darling's disease fungus) (Histoplasma capsulatum)	351
C0NM08	ECM14_AJECG	reviewed	Putative metallocarboxypeptidase ECM14 (EC 3.4.17.-)	ECM14 HCBG_04538	Ajellomyces capsulata (strain G186AR / H82 / ATCC MYA-2454 / RMSCC 2432) (Darling's disease fungus) (Histoplasma capsulatum)	597
P40911	EF1A_AJECG	reviewed	Elongation factor 1-alpha (EF-1-alpha)	TEF HCBG_06718	Ajellomyces capsulata (strain G186AR / H82 / ATCC MYA-2454 / RMSCC 2432) (Darling's disease fungus) (Histoplasma capsulatum)	460
C0NUJ9	FCJ1_AJECG	reviewed	Formation of crista junctions protein 1 (Mitofilin)	FCJ1 HCBG_07030	Ajellomyces capsulata (strain G186AR / H82 / ATCC MYA-2454 / RMSCC 2432) (Darling's disease fungus) (Histoplasma capsulatum)	685
C0NYZ7	GATA_AJECG	reviewed	Glutamyl-tRNA(Gln) amidotransferase subunit A, mitochondrial (Glu-AdT subunit A) (EC 6.3.5.-)	HCBG_08377	Ajellomyces capsulata (strain G186AR / H82 / ATCC MYA-2454 / RMSCC 2432) (Darling's disease fungus) (Histoplasma capsulatum)	521
C0NV09	GATB_AJECG	reviewed	Glutamyl-tRNA(Gln) amidotransferase subunit B, mitochondrial (Glu-AdT subunit B) (EC 6.3.5.-)	HCBG_06773	Ajellomyces capsulata (strain G186AR / H82 / ATCC MYA-2454 / RMSCC 2432) (Darling's disease fungus) (Histoplasma capsulatum)	564
C0NIJ2	GET1_AJECG	reviewed	Protein GET1 (Guided entry of tail-anchored proteins 1)	GET1 HCBG_02249	Ajellomyces capsulata (strain G186AR / H82 / ATCC MYA-2454 / RMSCC 2432) (Darling's disease fungus) (Histoplasma capsulatum)	206
C0NV23	GET3_AJECG	reviewed	ATPase GET3 (EC 3.6.-.-) (Arsenical pump-driving ATPase) (Arsenite-stimulated ATPase) (Golgi to ER traffic protein 3) (Guided entry of tail-anchored proteins 3)	GET3 HCBG_06787	Ajellomyces capsulata (strain G186AR / H82 / ATCC MYA-2454 / RMSCC 2432) (Darling's disease fungus) (Histoplasma capsulatum)	341
C0NZL9	GUF1_AJECG	reviewed	Translation factor GUF1, mitochondrial (EC 3.6.5.-) (Elongation factor 4 homolog) (EF-4) (GTPase GUF1) (Ribosomal back-translocase)	GUF1 HCBG_08599	Ajellomyces capsulata (strain G186AR / H82 / ATCC MYA-2454 / RMSCC 2432) (Darling's disease fungus) (Histoplasma capsulatum)	657
C0NE84	ITPA_AJECG	reviewed	Inosine triphosphate pyrophosphatase (ITPase) (Inosine triphosphatase) (EC 3.6.1.19) (Non-canonical purine NTP pyrophosphatase) (Non-standard purine NTP pyrophosphatase) (Nucleoside-triphosphate diphosphatase) (Nucleoside-triphosphate pyrophosphatase) (NTPase)	HCBG_02177	Ajellomyces capsulata (strain G186AR / H82 / ATCC MYA-2454 / RMSCC 2432) (Darling's disease fungus) (Histoplasma capsulatum)	183
C0NVM2	LAP1_AJECG	reviewed	Leucine aminopeptidase 1 (EC 3.4.11.-) (Leucyl aminopeptidase 1) (LAP1)	LAP1 HCBG_07202	Ajellomyces capsulata (strain G186AR / H82 / ATCC MYA-2454 / RMSCC 2432) (Darling's disease fungus) (Histoplasma capsulatum)	385
C0NTV7	LCL2_AJECG	reviewed	Long chronological lifespan protein 2	LCL2 HCBG_06587	Ajellomyces capsulata (strain G186AR / H82 / ATCC MYA-2454 / RMSCC 2432) (Darling's disease fungus) (Histoplasma capsulatum)	123
C0NXP6	LIPA_AJECG	reviewed	Lipoyl synthase, mitochondrial (EC 2.8.1.8) (Lipoate synthase) (LS) (Lip-syn) (Lipoic acid synthase)	HCBG_07690	Ajellomyces capsulata (strain G186AR / H82 / ATCC MYA-2454 / RMSCC 2432) (Darling's disease fungus) (Histoplasma capsulatum)	430
C0NRC6	LIS1_AJECG	reviewed	Nuclear distribution protein PAC1 (Lissencephaly-1 homolog) (LIS-1) (nudF homolog)	PAC1 LIS1 HCBG_05556	Ajellomyces capsulata (strain G186AR / H82 / ATCC MYA-2454 / RMSCC 2432) (Darling's disease fungus) (Histoplasma capsulatum)	456
C0NU79	M28P1_AJECG	reviewed	Probable zinc metalloprotease HCBG_06910 (EC 3.4.-.-)	HCBG_06910	Ajellomyces capsulata (strain G186AR / H82 / ATCC MYA-2454 / RMSCC 2432) (Darling's disease fungus) (Histoplasma capsulatum)	985
C0NIQ4	MAP21_AJECG	reviewed	Methionine aminopeptidase 2-1 (MAP 2-1) (MetAP 2-1) (EC 3.4.11.18) (Peptidase M)	HCBG_02311	Ajellomyces capsulata (strain G186AR / H82 / ATCC MYA-2454 / RMSCC 2432) (Darling's disease fungus) (Histoplasma capsulatum)	448
C0NX86	MAP22_AJECG	reviewed	Methionine aminopeptidase 2-2 (MAP 2-2) (MetAP 2-2) (EC 3.4.11.18) (Peptidase M)	HCBG_08078	Ajellomyces capsulata (strain G186AR / H82 / ATCC MYA-2454 / RMSCC 2432) (Darling's disease fungus) (Histoplasma capsulatum)	465
C0NFC2	MDM10_AJECG	reviewed	Mitochondrial distribution and morphology protein 10 (Mitochondrial inheritance component MDM10)	MDM10 HCBG_01588	Ajellomyces capsulata (strain G186AR / H82 / ATCC MYA-2454 / RMSCC 2432) (Darling's disease fungus) (Histoplasma capsulatum)	467
C0NF00	MDM12_AJECG	reviewed	Mitochondrial distribution and morphology protein 12 (Mitochondrial inheritance component MDM12)	MDM12 HCBG_01466	Ajellomyces capsulata (strain G186AR / H82 / ATCC MYA-2454 / RMSCC 2432) (Darling's disease fungus) (Histoplasma capsulatum)	430
C0NY51	MDM34_AJECG	reviewed	Mitochondrial distribution and morphology protein 34	MDM34 HCBG_07845	Ajellomyces capsulata (strain G186AR / H82 / ATCC MYA-2454 / RMSCC 2432) (Darling's disease fungus) (Histoplasma capsulatum)	622
C0NZU3	MMM1_AJECG	reviewed	Maintenance of mitochondrial morphology protein 1	MMM1 HCBG_08673	Ajellomyces capsulata (strain G186AR / H82 / ATCC MYA-2454 / RMSCC 2432) (Darling's disease fungus) (Histoplasma capsulatum)	591
