Entry	Entry name	Status	Protein names	Gene names	Organism	Length
O84066	6PGD_CHLTR	reviewed	6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)	gnd CT_063	Chlamydia trachomatis (strain D/UW-3/Cx)	480
O84189	6PGL_CHLTR	reviewed	6-phosphogluconolactonase (6PGL) (EC 3.1.1.31)	pgl devB CT_186	Chlamydia trachomatis (strain D/UW-3/Cx)	256
O84377	AAXA_CHLTR	reviewed	Porin AaxA (Outer membrane protein AaxA)	aaxA CT_372	Chlamydia trachomatis (strain D/UW-3/Cx)	461
O84378	AAXB_CHLTR	reviewed	Pyruvoyl-dependent arginine decarboxylase AaxB (PvlArgDC) (EC 4.1.1.19) (Biodegradative arginine decarboxylase) [Cleaved into: Pyruvoyl-dependent arginine decarboxylase subunit beta; Pyruvoyl-dependent arginine decarboxylase subunit alpha]	aaxB CT_373	Chlamydia trachomatis (strain D/UW-3/Cx)	195
O84379	AAXC_CHLTR	reviewed	Arginine/agmatine antiporter	aaxC arcD CT_374	Chlamydia trachomatis (strain D/UW-3/Cx)	483
O84267	ACCA_CHLTR	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 6.4.1.2)	accA CT_265	Chlamydia trachomatis (strain D/UW-3/Cx)	324
O84102	ACPS_CHLTR	reviewed	Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS)	acpS CT_100	Chlamydia trachomatis (strain D/UW-3/Cx)	119
O84239	ACP_CHLTR	reviewed	Acyl carrier protein (ACP)	acpP CT_236	Chlamydia trachomatis (strain D/UW-3/Cx)	77
O84367	AK_CHLTR	reviewed	Aspartokinase (EC 2.7.2.4) (Aspartate kinase)	lysC CT_362	Chlamydia trachomatis (strain D/UW-3/Cx)	431
O84217	ALF1_CHLTR	reviewed	Probable fructose-bisphosphate aldolase class 1 (EC 4.1.2.13) (Probable fructose-bisphosphate aldolase class I) (FBP aldolase)	fbaB CT_215	Chlamydia trachomatis (strain D/UW-3/Cx)	348
O84049	AMPA_CHLTR	reviewed	Probable cytosol aminopeptidase (EC 3.4.11.1) (Leucine aminopeptidase) (LAP) (EC 3.4.11.10) (Leucyl aminopeptidase)	pepA CT_045	Chlamydia trachomatis (strain D/UW-3/Cx)	499
O84080	APBE_CHLTR	reviewed	Thiamine biosynthesis lipoprotein ApbE	apbE CT_077	Chlamydia trachomatis (strain D/UW-3/Cx)	316
O84371	AROA_CHLTR	reviewed	3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS)	aroA CT_366	Chlamydia trachomatis (strain D/UW-3/Cx)	440
O84374	AROB_CHLTR	reviewed	3-dehydroquinate synthase (EC 4.2.3.4)	aroB CT_369	Chlamydia trachomatis (strain D/UW-3/Cx)	373
O84373	AROC_CHLTR	reviewed	Chorismate synthase (EC 4.2.3.5) (5-enolpyruvylshikimate-3-phosphate phospholyase)	aroC CT_368	Chlamydia trachomatis (strain D/UW-3/Cx)	357
O84375	ARODE_CHLTR	reviewed	Shikimate biosynthesis protein AroDE [Includes: 3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type I DHQase); Shikimate dehydrogenase (EC 1.1.1.25)]	aroE aroD/E CT_370	Chlamydia trachomatis (strain D/UW-3/Cx)	478
O84372	AROK_CHLTR	reviewed	Shikimate kinase (SK) (EC 2.7.1.71)	aroK CT_367	Chlamydia trachomatis (strain D/UW-3/Cx)	184
O84385	ARTJ_CHLTR	reviewed	Probable ABC transporter arginine-binding protein ArtJ	artJ CT_381	Chlamydia trachomatis (strain D/UW-3/Cx)	257
O84125	BCCP_CHLTR	reviewed	Biotin carboxyl carrier protein of acetyl-CoA carboxylase (BCCP)	accB CT_123	Chlamydia trachomatis (strain D/UW-3/Cx)	164
O84179	BDBC_CHLTR	reviewed	Probable disulfide formation protein (Disulfide oxidoreductase) (Thiol-disulfide oxidoreductase)	CT_176	Chlamydia trachomatis (strain D/UW-3/Cx)	135
O84457	CDSA_CHLTR	reviewed	Phosphatidate cytidylyltransferase (EC 2.7.7.41) (CDP-DAG synthase) (CDP-DG synthase) (CDP-diacylglycerol synthase) (CDS) (CDP-diglyceride pyrophosphorylase) (CDP-diglyceride synthase) (CTP:phosphatidate cytidylyltransferase)	cdsA CT_451	Chlamydia trachomatis (strain D/UW-3/Cx)	305
O84876	CDUB1_CHLTR	reviewed	Deubiquitinase and deneddylase Dub1 (ChlaDub1) (EC 3.4.22.-)	cdu1 CT_868	Chlamydia trachomatis (strain D/UW-3/Cx)	418
O84875	CDUB2_CHLTR	reviewed	Deubiquitinase and deneddylase Dub2 (ChlaDub2) (EC 3.4.22.-)	cdu2 CT_867	Chlamydia trachomatis (strain D/UW-3/Cx)	339
