BAIT	IP_Sample_ID	Rank	Uniq_Pep	Acc__	Num_Unique	X__Cov	Best_Disc_Score	Best_Expect_Val	Protein_MW	Species	Protein_Name
negative	CM13	[10]		P35527	6	15.1	3.77	4.8e-06	62129.9	HOMO SAPIENS	K1C9_HUMAN Keratin, type I cytoskeletal 9
negative	CM13	[11]		Q00839	5	13.3	4.68	8.7e-08	90514.1	HOMO SAPIENS	HNRPU_HUMAN Heterogeneous nuclear ribonucleoprotein U
negative	CM13	[12]		Q9UQ35	5	2.7	5.12	9.3e-10	299617.3	HOMO SAPIENS	SRRM2_HUMAN Serine/arginine repetitive matrix protein 2
negative	CM13	[13]		Q15393	5	6.2	4.94	1.4e-08	135578.5	HOMO SAPIENS	SF3B3_HUMAN Splicing factor 3B subunit 3
negative	CM13	[14-1]	1	P11142	2	3.9	3.54	2.8e-06	70898.7	HOMO SAPIENS	HSP7C_HUMAN Heat shock cognate 71 kDa protein
negative	CM13	[14]		P08107	6	12.9	3.8	2.8e-07	70052.8	HOMO SAPIENS	HSP71_HUMAN Heat shock 70 kDa protein 1
negative	CM13	[15]		P61978	4	12.3	4.84	2.9e-08	50976.7	HOMO SAPIENS	HNRPK_HUMAN Heterogeneous nuclear ribonucleoprotein K
negative	CM13	[16]		P19338	7	11.4	3.06	1.2e-06	76615	HOMO SAPIENS	NUCL_HUMAN Nucleolin
negative	CM13	[17]		Q15208	7	18.5	2.43	0.00022	54190.7	HOMO SAPIENS	STK38_HUMAN Serine/threonine-protein kinase 38
negative	CM13	[18]		Q9NXV2	4	27.8	3.66	1.2e-06	26092.8	HOMO SAPIENS	KCTD5_HUMAN BTB/POZ domain-containing protein KCTD5
negative	CM13	[19]		P07437	5	18.5	3.11	3.2e-05	49671.3	HOMO SAPIENS	TBB5_HUMAN Tubulin beta chain
negative	CM13	[1]		P52732	43	40.2	5.34	4.6e-09	119160	HOMO SAPIENS	KIF11_HUMAN Kinesin-like protein KIF11
negative	CM13	[20]		P05387	3	55.7	4.98	3e-08	11665	HOMO SAPIENS	RLA2_HUMAN 60S acidic ribosomal protein P2
negative	CM13	[21]		Q9Y657	5	34.7	3.17	1.6e-06	29600.8	HOMO SAPIENS	SPIN1_HUMAN Spindlin-1
negative	CM13	[22]		Q9BRS2	4	14.4	3.53	1.1e-05	65583.5	HOMO SAPIENS	RIOK1_HUMAN Serine/threonine-protein kinase RIO1
negative	CM13	[23]		P31943	2	6.7	4.68	1.5e-06	49229.9	HOMO SAPIENS	HNRH1_HUMAN Heterogeneous nuclear ribonucleoprotein H
negative	CM13	[24]		Q9UMS4	4	17.7	3.02	2e-05	55181.3	HOMO SAPIENS	PRP19_HUMAN Pre-mRNA-processing factor 19
negative	CM13	[25]		Q07020	2	13.8	4.63	1.3e-07	21634.7	HOMO SAPIENS	RL18_HUMAN 60S ribosomal protein L18
