Entry	Entry name	Status	Protein names	Gene names	Organism	Length
P0A5B8	14KD_MYCBO	reviewed	14 kDa antigen (16 kDa antigen) (HSP 16.3)	hspX Mb2057c	Mycobacterium bovis (strain ATCC BAA-935 / AF2122/97)	144
P46729	18K1_MYCAV	reviewed	18 kDa antigen 1 (Clone MAVC124)		Mycobacterium avium	147
P46730	18K1_MYCIT	reviewed	18 kDa antigen 1 (18 kDa antigen clone MINTC73)		Mycobacterium intracellulare	149
P46731	18K2_MYCAV	reviewed	18 kDa antigen 2 (Clone MAVC83)		Mycobacterium avium	138
P46732	18K2_MYCIT	reviewed	18 kDa antigen 2 (18 kDa antigen clone MINTC541)		Mycobacterium intracellulare	140
P19361	28KD_MYCLE	reviewed	28 kDa antigen	ML0091	Mycobacterium leprae (strain TN)	236
P65638	34KD_MYCBO	reviewed	34 kDa antigenic protein homolog	Mb0979	Mycobacterium bovis (strain ATCC BAA-935 / AF2122/97)	303
Q04959	34KD_MYCPA	reviewed	34 kDa antigenic protein	MAP_0900	Mycobacterium paratuberculosis (strain ATCC BAA-968 / K-10)	298
P65637	34KD_MYCTU	reviewed	34 kDa antigenic protein homolog	Rv0954 MT0981 MTCY10D7.20c	Mycobacterium tuberculosis	303
A5U697	35KD_MYCTA	reviewed	35 kDa protein	MRA_2770	Mycobacterium tuberculosis (strain ATCC 25177 / H37Ra)	270
P0C5C4	35KD_MYCTU	reviewed	35 kDa protein	Rv2744c MT2815 MTV002.09c	Mycobacterium tuberculosis	270
O53454	3BHS_MYCTU	reviewed	3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase (Cholesterol dehydrogenase) [Includes: 3-beta-hydroxy-Delta(5)-steroid dehydrogenase (3-beta-HSD) (3BHSD) (EC 1.1.1.145) (3-beta hydroxysterol dehydrogenase) (3-beta-hydroxy-5-ene steroid dehydrogenase) (Progesterone reductase); Steroid Delta-isomerase (EC 5.3.3.1) (Delta-5-3-ketosteroid isomerase)]	Rv1106c MT1137	Mycobacterium tuberculosis	370
P65413	3MGH_MYCBO	reviewed	Putative 3-methyladenine DNA glycosylase (EC 3.2.2.-)	Mb1714	Mycobacterium bovis (strain ATCC BAA-935 / AF2122/97)	203
A1KJA4	3MGH_MYCBP	reviewed	Putative 3-methyladenine DNA glycosylase (EC 3.2.2.-)	BCG_1726	Mycobacterium bovis (strain BCG / Pasteur 1173P2)	203
C1ANW0	3MGH_MYCBT	reviewed	Putative 3-methyladenine DNA glycosylase (EC 3.2.2.-)	JTY_1701	Mycobacterium bovis (strain BCG / Tokyo 172 / ATCC 35737 / TMC 1019)	203
