Entry	Entry name	Status	Protein names	Gene names	Organism	Length
Q1HR36	1433Z_AEDAE	reviewed	14-3-3 protein zeta	14-3-3zeta AAEL006885	Aedes aegypti (Yellowfever mosquito) (Culex aegypti)	248
P29552	ABDA_AEDAE	reviewed	Homeobox protein abdominal-A homolog	abd-A AAEL009742	Aedes aegypti (Yellowfever mosquito) (Culex aegypti)	239
P49128	ACT1_AEDAE	reviewed	Actin-1	ACT-1 AAEL001928	Aedes aegypti (Yellowfever mosquito) (Culex aegypti)	376
Q17PP1	AKTIP_AEDAE	reviewed	Protein crossbronx homolog	AAEL000265	Aedes aegypti (Yellowfever mosquito) (Culex aegypti)	230
P18153	ALL2_AEDAE	reviewed	37 kDa salivary gland allergen Aed a 2 (Protein D7) (allergen Aed a 2)	D7 AAEL006424	Aedes aegypti (Yellowfever mosquito) (Culex aegypti)	321
O01949	ALL3_AEDAE	reviewed	30 kDa salivary gland allergen Aed a 3 (allergen Aed a 3)	AAEL010235	Aedes aegypti (Yellowfever mosquito) (Culex aegypti)	273
P53354	AMY1_AEDAE	reviewed	Alpha-amylase I (EC 3.2.1.1) (1,4-alpha-D-glucan glucanohydrolase)	AMY1 AMY I AAEL006719	Aedes aegypti (Yellowfever mosquito) (Culex aegypti)	737
Q16NS8	ANM7_AEDAE	reviewed	Protein arginine N-methyltransferase 7 (EC 2.1.1.-)	Art7 AAEL011877	Aedes aegypti (Yellowfever mosquito) (Culex aegypti)	686
P50635	APY_AEDAE	reviewed	Apyrase (EC 3.6.1.5) (ATP-diphosphatase) (ADPase) (ATP-diphosphohydrolase) (Adenosine diphosphatase) (allergen Aed a 1)	APY AAEL006347	Aedes aegypti (Yellowfever mosquito) (Culex aegypti)	562
Q9NHW7	AQP_AEDAE	reviewed	Aquaporin AQPAe.a	AAEL003512	Aedes aegypti (Yellowfever mosquito) (Culex aegypti)	249
Q17GS9	ARM_AEDAE	reviewed	Armadillo segment polarity protein	arm AAEL002887	Aedes aegypti (Yellowfever mosquito) (Culex aegypti)	832
Q17GZ9	ARP5_AEDAE	reviewed	Actin-related protein 5	Arp5 AAEL002822	Aedes aegypti (Yellowfever mosquito) (Culex aegypti)	655
Q0IEG8	ARP8_AEDAE	reviewed	Actin-related protein 8	Arp8 AAEL010762	Aedes aegypti (Yellowfever mosquito) (Culex aegypti)	562
Q16MG9	ASNA_AEDAE	reviewed	ATPase ASNA1 homolog (EC 3.6.-.-) (Arsenical pump-driving ATPase homolog) (Arsenite-stimulated ATPase)	AAEL011136; AAEL012316	Aedes aegypti (Yellowfever mosquito) (Culex aegypti)	341
Q03168	ASPP_AEDAE	reviewed	Lysosomal aspartic protease (EC 3.4.23.-)	AAEL006169	Aedes aegypti (Yellowfever mosquito) (Culex aegypti)	387
Q0IFL5	ASSY_AEDAE	reviewed	Argininosuccinate synthase (EC 6.3.4.5) (Citrulline--aspartate ligase)	AAEL004701	Aedes aegypti (Yellowfever mosquito) (Culex aegypti)	412
Q16Y34	ATAT_AEDAE	reviewed	Alpha-tubulin N-acetyltransferase (Alpha-TAT) (TAT) (EC 2.3.1.108) (Acetyltransferase mec-17 homolog)	AAEL008679	Aedes aegypti (Yellowfever mosquito) (Culex aegypti)	272
Q1HRS5	ATP6_AEDAE	reviewed	ATP synthase subunit a (F-ATPase protein 6)	mt:ATPase6 ATP6	Aedes aegypti (Yellowfever mosquito) (Culex aegypti)	226
B0FWC9	ATP8_AEDAE	reviewed	ATP synthase protein 8 (ATPase subunit 8) (A6L)	mt:ATPase8 ATP8	Aedes aegypti (Yellowfever mosquito) (Culex aegypti)	53
Q16TM5	BND7A_AEDAE	reviewed	Band 7 protein AAEL010189	AAEL010189	Aedes aegypti (Yellowfever mosquito) (Culex aegypti)	297
Q17LZ2	BOP1_AEDAE	reviewed	Ribosome biogenesis protein BOP1 homolog	AAEL001169	Aedes aegypti (Yellowfever mosquito) (Culex aegypti)	866
P85316	BURS_AEDAE	reviewed	Bursicon (Bursicon subunit alpha)	burs124; burs3	Aedes aegypti (Yellowfever mosquito) (Culex aegypti)	163
Q17N72	CALYP_AEDAE	reviewed	Ubiquitin carboxyl-terminal hydrolase calypso (EC 3.4.19.12) (BAP1 homolog)	calypso AAEL000787	Aedes aegypti (Yellowfever mosquito) (Culex aegypti)	478
Q174R2	CARM1_AEDAE	reviewed	Histone-arginine methyltransferase CARMER (EC 2.1.1.-) (EC 2.1.1.125)	CARM1 AAEL006782	Aedes aegypti (Yellowfever mosquito) (Culex aegypti)	593
Q16VW9	CCD22_AEDAE	reviewed	Coiled-coil domain-containing protein 22 homolog	AAEL009388	Aedes aegypti (Yellowfever mosquito) (Culex aegypti)	589
Q16JA2	CCNC_AEDAE	reviewed	Cyclin-C	CycC AAEL013397	Aedes aegypti (Yellowfever mosquito) (Culex aegypti)	265
Q16YG0	CDC42_AEDAE	reviewed	Cdc42 homolog	Cdc42 AAEL008543	Aedes aegypti (Yellowfever mosquito) (Culex aegypti)	191
Q17IE8	CDK8_AEDAE	reviewed	Cyclin-dependent kinase 8 (EC 2.7.11.22) (EC 2.7.11.23) (Cell division protein kinase 8) (Mediator complex subunit Cdk8) (Mediator of RNA polymerase II transcription subunit Cdk8)	Cdk8 AAEL002395	Aedes aegypti (Yellowfever mosquito) (Culex aegypti)	501
P82592	CECA_AEDAE	reviewed	Cecropin-A	CECA AAEL000627	Aedes aegypti (Yellowfever mosquito) (Culex aegypti)	59
Q17GR9	CIAO1_AEDAE	reviewed	Probable cytosolic iron-sulfur protein assembly protein Ciao1	Ciao1 AAEL002912	Aedes aegypti (Yellowfever mosquito) (Culex aegypti)	337
Q17GM7	CISY1_AEDAE	reviewed	Probable citrate synthase 1, mitochondrial (EC 2.3.3.1)	AAEL002956	Aedes aegypti (Yellowfever mosquito) (Culex aegypti)	467
Q16P20	CISY2_AEDAE	reviewed	Probable citrate synthase 2, mitochondrial (EC 2.3.3.1)	AAEL011789	Aedes aegypti (Yellowfever mosquito) (Culex aegypti)	467
Q16WA6	CLP1_AEDAE	reviewed	Protein CLP1 homolog	cbc AAEL009302	Aedes aegypti (Yellowfever mosquito) (Culex aegypti)	424
Q17N71	CLU_AEDAE	reviewed	Clustered mitochondria protein homolog	AAEL000794	Aedes aegypti (Yellowfever mosquito) (Culex aegypti)	1442
Q16ZN9	COG3_AEDAE	reviewed	Conserved oligomeric Golgi complex subunit 3 (COG complex subunit 3) (Component of oligomeric Golgi complex 3)	Cog3 AAEL008135	Aedes aegypti (Yellowfever mosquito) (Culex aegypti)	899
Q16QL3	COQ2_AEDAE	reviewed	4-hydroxybenzoate polyprenyltransferase, mitochondrial (EC 2.5.1.39) (Coenzyme Q biosynthesis protein 2) (Para-hydroxybenzoate--polyprenyltransferase) (PHB:polyprenyltransferase)	coq2 AAEL011249	Aedes aegypti (Yellowfever mosquito) (Culex aegypti)	441
Q16FT5	COQ4_AEDAE	reviewed	Ubiquinone biosynthesis protein COQ4 homolog, mitochondrial (Coenzyme Q biosynthesis protein 4 homolog)	AAEL014646	Aedes aegypti (Yellowfever mosquito) (Culex aegypti)	274
Q17AN4	CORZ_AEDAE	reviewed	Pro-corazonin (Crz) [Cleaved into: Corazonin; Corazonin precursor-related peptide (CPRP)]	Crz AAEL005252	Aedes aegypti (Yellowfever mosquito) (Culex aegypti)	137
B0FWC7	COX1_AEDAE	reviewed	Cytochrome c oxidase subunit 1 (EC 1.9.3.1) (Cytochrome c oxidase polypeptide I)	mt:CoI COI COX1	Aedes aegypti (Yellowfever mosquito) (Culex aegypti)	514
P50692	COX2_AEDAE	reviewed	Cytochrome c oxidase subunit 2 (EC 1.9.3.1) (Cytochrome c oxidase polypeptide II)	COII COX2	Aedes aegypti (Yellowfever mosquito) (Culex aegypti)	228
B0FWD1	COX3_AEDAE	reviewed	Cytochrome c oxidase subunit 3 (EC 1.9.3.1) (Cytochrome c oxidase polypeptide III)	mt:CoIII COX3	Aedes aegypti (Yellowfever mosquito) (Culex aegypti)	262
Q17DK5	CRY1_AEDAE	reviewed	Cryptochrome-1	cry AAEL004146	Aedes aegypti (Yellowfever mosquito) (Culex aegypti)	545
Q17JQ7	CTLH1_AEDAE	reviewed	CTL-like protein 1	AAEL001935	Aedes aegypti (Yellowfever mosquito) (Culex aegypti)	689
Q16QI1	CTU1_AEDAE	reviewed	Cytoplasmic tRNA 2-thiolation protein 1 (EC 2.7.7.-) (Cytoplasmic tRNA adenylyltransferase 1)	AAEL011283	Aedes aegypti (Yellowfever mosquito) (Culex aegypti)	341
Q17JB7	CTU2_AEDAE	reviewed	Cytoplasmic tRNA 2-thiolation protein 2	AAEL002056	Aedes aegypti (Yellowfever mosquito) (Culex aegypti)	445
Q16YE7	CUE_AEDAE	reviewed	Protein cueball	cue AAEL008564	Aedes aegypti (Yellowfever mosquito) (Culex aegypti)	664
B0FWD7	CYB_AEDAE	reviewed	Cytochrome b (Complex III subunit 3) (Complex III subunit III) (Cytochrome b-c1 complex subunit 3) (Ubiquinol-cytochrome-c reductase complex cytochrome b subunit)	mt:Cyt-b CYTB	Aedes aegypti (Yellowfever mosquito) (Culex aegypti)	378
Q16RY9	DAAF1_AEDAE	reviewed	Dynein assembly factor 1, axonemal homolog (Leucine-rich repeat-containing protein 50)	AAEL010772	Aedes aegypti (Yellowfever mosquito) (Culex aegypti)	1107
Q16IB4	DAN_AEDAE	reviewed	Protein distal antenna	dan AAEL013733	Aedes aegypti (Yellowfever mosquito) (Culex aegypti)	675
Q1HQF2	DCTN2_AEDAE	reviewed	Probable dynactin subunit 2	Dmn AAEL006029	Aedes aegypti (Yellowfever mosquito) (Culex aegypti)	381
P91793	DEFA_AEDAE	reviewed	Defensin-A (AaDef)	DEFA AAEL003841	Aedes aegypti (Yellowfever mosquito) (Culex aegypti)	98
P81602	DEFB_AEDAE	reviewed	Defensin-B	DEFB AAEL003857	Aedes aegypti (Yellowfever mosquito) (Culex aegypti)	98
P81603	DEFC_AEDAE	reviewed	Defensin-C	DEFC AAEL003832	Aedes aegypti (Yellowfever mosquito) (Culex aegypti)	99
Q17L24	DRE2_AEDAE	reviewed	Anamorsin homolog (Fe-S cluster assembly protein DRE2 homolog)	AAEL001501	Aedes aegypti (Yellowfever mosquito) (Culex aegypti)	254
P49880	ECR_AEDAE	reviewed	Ecdysone receptor (20-hydroxy-ecdysone receptor) (20E receptor) (EcRH) (AaEcR) (Ecdysteroid receptor) (Nuclear receptor subfamily 1 group H member 1)	EcR NR1H1 AAEL009600	Aedes aegypti (Yellowfever mosquito) (Culex aegypti)	776
Q16S14	EFGM_AEDAE	reviewed	Elongation factor G, mitochondrial (EF-Gmt) (Elongation factor G 1, mitochondrial) (mEF-G 1) (Elongation factor G1)	AAEL010742	Aedes aegypti (Yellowfever mosquito) (Culex aegypti)	748
Q17PI0	EFTS_AEDAE	reviewed	Elongation factor Ts, mitochondrial (EF-Ts) (EF-TsMt)	AAEL000331	Aedes aegypti (Yellowfever mosquito) (Culex aegypti)	307
Q173M7	EIF3A_AEDAE	reviewed	Eukaryotic translation initiation factor 3 subunit A (eIF3a) (Eukaryotic translation initiation factor 3 subunit 10)	eIF3-S10 AAEL007078	Aedes aegypti (Yellowfever mosquito) (Culex aegypti)	1133
Q0IEY3	EIF3B_AEDAE	reviewed	Eukaryotic translation initiation factor 3 subunit B (eIF3b) (Eukaryotic translation initiation factor 3 subunit 9)	eIF3-S9 AAEL007718	Aedes aegypti (Yellowfever mosquito) (Culex aegypti)	688
Q17Q06	EIF3C_AEDAE	reviewed	Eukaryotic translation initiation factor 3 subunit C (eIF3c) (Eukaryotic translation initiation factor 3 subunit 8)	eIF3-S8 AAEL000175	Aedes aegypti (Yellowfever mosquito) (Culex aegypti)	910
Q16UF8	EIF3D_AEDAE	reviewed	Eukaryotic translation initiation factor 3 subunit D (eIF3d) (Eukaryotic translation initiation factor 3 subunit 7)	eIF3-S7 AAEL009902	Aedes aegypti (Yellowfever mosquito) (Culex aegypti)	619
Q1HQY6	EIF3E_AEDAE	reviewed	Eukaryotic translation initiation factor 3 subunit E (eIF3e) (Eukaryotic translation initiation factor 3 subunit 6)	eIF3-S6 AAEL002334	Aedes aegypti (Yellowfever mosquito) (Culex aegypti)	435
Q1HR47	EIF3F_AEDAE	reviewed	Eukaryotic translation initiation factor 3 subunit F (eIF3f) (Eukaryotic translation initiation factor 3 subunit 5)	eIF3-S5 AAEL009101	Aedes aegypti (Yellowfever mosquito) (Culex aegypti)	287
