Entry	Entry name	Status	Protein names	Gene names	Organism	Length
O84066	6PGD_CHLTR	reviewed	6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)	gnd CT_063	Chlamydia trachomatis (strain D/UW-3/Cx)	480
O84189	6PGL_CHLTR	reviewed	6-phosphogluconolactonase (6PGL) (EC 3.1.1.31)	pgl devB CT_186	Chlamydia trachomatis (strain D/UW-3/Cx)	256
B0B7U1	AAXA_CHLT2	reviewed	Porin AaxA (Outer membrane protein AaxA)	aaxA CTL0626	Chlamydia trachomatis serovar L2 (strain 434/Bu / ATCC VR-902B)	461
Q3KLY4	AAXA_CHLTA	reviewed	Porin AaxA (Outer membrane protein AaxA)	aaxA CTA_0404	Chlamydia trachomatis serovar A (strain HAR-13 / ATCC VR-571B)	461
B0BC06	AAXA_CHLTB	reviewed	Porin AaxA (Outer membrane protein AaxA)	aaxA CTLon_0624	Chlamydia trachomatis serovar L2b (strain UCH-1/proctitis)	461
O84377	AAXA_CHLTR	reviewed	Porin AaxA (Outer membrane protein AaxA)	aaxA CT_372	Chlamydia trachomatis (strain D/UW-3/Cx)	461
P0C8R4	AAXB_CHLT2	reviewed	Pyruvoyl-dependent arginine decarboxylase AaxB (PvlArgDC) (EC 4.1.1.19) (Biodegradative arginine decarboxylase) [Cleaved into: Pyruvoyl-dependent arginine decarboxylase subunit beta; Pyruvoyl-dependent arginine decarboxylase subunit alpha]	aaxB CTL0627	Chlamydia trachomatis serovar L2 (strain 434/Bu / ATCC VR-902B)	195
Q3KLY3	AAXB_CHLTA	reviewed	Pyruvoyl-dependent arginine decarboxylase AaxB (PvlArgDC) (EC 4.1.1.19) (Biodegradative arginine decarboxylase) [Cleaved into: Pyruvoyl-dependent arginine decarboxylase subunit beta; Pyruvoyl-dependent arginine decarboxylase subunit alpha]	aaxB CTA_0405	Chlamydia trachomatis serovar A (strain HAR-13 / ATCC VR-571B)	195
P0C8R5	AAXB_CHLTB	reviewed	Pyruvoyl-dependent arginine decarboxylase AaxB (PvlArgDC) (EC 4.1.1.19) (Biodegradative arginine decarboxylase) [Cleaved into: Pyruvoyl-dependent arginine decarboxylase subunit beta; Pyruvoyl-dependent arginine decarboxylase subunit alpha]	aaxB CTLon_0625	Chlamydia trachomatis serovar L2b (strain UCH-1/proctitis)	195
O84378	AAXB_CHLTR	reviewed	Pyruvoyl-dependent arginine decarboxylase AaxB (PvlArgDC) (EC 4.1.1.19) (Biodegradative arginine decarboxylase) [Cleaved into: Pyruvoyl-dependent arginine decarboxylase subunit beta; Pyruvoyl-dependent arginine decarboxylase subunit alpha]	aaxB CT_373	Chlamydia trachomatis (strain D/UW-3/Cx)	195
B0B7U3	AAXC_CHLT2	reviewed	Arginine/agmatine antiporter	aaxC arcD CTL0628	Chlamydia trachomatis serovar L2 (strain 434/Bu / ATCC VR-902B)	483
Q3KLY0	AAXC_CHLTA	reviewed	Arginine/agmatine antiporter	aaxC arcD CTA_0406/CTA_0407/CTA_0408	Chlamydia trachomatis serovar A (strain HAR-13 / ATCC VR-571B)	483
B0BC08	AAXC_CHLTB	reviewed	Arginine/agmatine antiporter	aaxC arcD CTLon_0626	Chlamydia trachomatis serovar L2b (strain UCH-1/proctitis)	483
O84379	AAXC_CHLTR	reviewed	Arginine/agmatine antiporter	aaxC arcD CT_374	Chlamydia trachomatis (strain D/UW-3/Cx)	483
B0B7I1	ACCA_CHLT2	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 6.4.1.2)	accA CTL0517	Chlamydia trachomatis serovar L2 (strain 434/Bu / ATCC VR-902B)	324
Q3KM97	ACCA_CHLTA	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 6.4.1.2)	accA CTA_0287	Chlamydia trachomatis serovar A (strain HAR-13 / ATCC VR-571B)	324
B0BBP6	ACCA_CHLTB	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 6.4.1.2)	accA CTLon_0513	Chlamydia trachomatis serovar L2b (strain UCH-1/proctitis)	324
O84267	ACCA_CHLTR	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 6.4.1.2)	accA CT_265	Chlamydia trachomatis (strain D/UW-3/Cx)	324
B0B9K8	ACPS_CHLT2	reviewed	Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS)	acpS CTL0355	Chlamydia trachomatis serovar L2 (strain 434/Bu / ATCC VR-902B)	119
Q3KMS0	ACPS_CHLTA	reviewed	Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS)	acpS CTA_0106	Chlamydia trachomatis serovar A (strain HAR-13 / ATCC VR-571B)	119
