BAIT	IP_Sample_ID	Rank	Uniq_Pep	Acc__	Num_Unique	X__Cov	Best_Disc_Score	Best_Expect_Val	Protein_MW	Species	Protein_Name
negative_strep	JKIP34-2	[1]		Q13085	77	40.3	5.1	8.30E-09	265556.2	HOMO SAPIENS	ACACA_HUMAN Acetyl-CoA carboxylase 1
negative_strep	JKIP34-2	[2]		Q9HCC0	32	58.3	7.75	1.30E-12	61333.7	HOMO SAPIENS	MCCB_HUMAN Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial
negative_strep	JKIP34-2	[3]		Q96RQ3	29	50.1	5.82	5.50E-09	80473.8	HOMO SAPIENS	MCCA_HUMAN Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial
negative_strep	JKIP34-2	[4]		P04264	21	34.5	5.05	2.00E-09	66039.2	HOMO SAPIENS	K2C1_HUMAN Keratin, type II cytoskeletal 1
negative_strep	JKIP34-2	[4-1]	10	P35908	12	23.8	3.47	2.60E-06	65433.4	HOMO SAPIENS	K22E_HUMAN Keratin, type II cytoskeletal 2 epidermal
negative_strep	JKIP34-2	[4-2]	2	P04259	3	5.5	2.16	1.10E-04	60067.4	HOMO SAPIENS	K2C6B_HUMAN Keratin, type II cytoskeletal 6B
negative_strep	JKIP34-2	[4-3]	1	P19013	2	3.7	2.79	5.70E-06	57285.7	HOMO SAPIENS	K2C4_HUMAN Keratin, type II cytoskeletal 4
negative_strep	JKIP34-2	[5]		P52272	20	28.5	4.94	5.90E-08	77516.4	HOMO SAPIENS	HNRPM_HUMAN Heterogeneous nuclear ribonucleoprotein M
negative_strep	JKIP34-2	[6]		P11498	18	23	4.81	6.60E-08	129634.7	HOMO SAPIENS	PYC_HUMAN Pyruvate carboxylase, mitochondrial
negative_strep	JKIP34-2	[7]		Q8WWM7	20	25.6	4.19	2.10E-07	113374.5	HOMO SAPIENS	ATX2L_HUMAN Ataxin-2-like protein
negative_strep	JKIP34-2	[8]		P35527	16	34.5	6.04	2.70E-11	62064.8	HOMO SAPIENS	K1C9_HUMAN Keratin, type I cytoskeletal 9
negative_strep	JKIP34-2	[8-1]	12	P13645	13	22.1	3.83	2.60E-07	58827.5	HOMO SAPIENS	K1C10_HUMAN Keratin, type I cytoskeletal 10
negative_strep	JKIP34-2	[8-2]	4	P02533	5	8.1	1.85	4.10E-04	51561.9	HOMO SAPIENS	K1C14_HUMAN Keratin, type I cytoskeletal 14
negative_strep	JKIP34-2	[8-3]	4	P08779	5	8	1.85	4.10E-04	51268.3	HOMO SAPIENS	K1C16_HUMAN Keratin, type I cytoskeletal 16
negative_strep	JKIP34-2	[9]		P05166	13	33.6	4.81	2.30E-08	58216.2	HOMO SAPIENS	PCCB_HUMAN Propionyl-CoA carboxylase beta chain, mitochondrial
negative_strep	JKIP34-2	[10]		O60814	10	42.1	5.25	3.40E-09	13890.3	HOMO SAPIENS	H2B1K_HUMAN Histone H2B type 1-K
negative_strep	JKIP34-2	[10-1]	1	P06899	9	41.3	5.25	3.40E-09	13904.3	HOMO SAPIENS	H2B1J_HUMAN Histone H2B type 1-J
negative_strep	JKIP34-2	[10-2]	1	P23527	9	41.3	5.25	3.40E-09	13906.3	HOMO SAPIENS	H2B1O_HUMAN Histone H2B type 1-O
negative_strep	JKIP34-2	[10-3]	1	P33778	9	41.3	5.25	3.40E-09	13950.3	HOMO SAPIENS	H2B1B_HUMAN Histone H2B type 1-B
negative_strep	JKIP34-2	[10-4]	1	Q16778	9	41.3	5.25	3.40E-09	13920.3	HOMO SAPIENS	H2B2E_HUMAN Histone H2B type 2-E
negative_strep	JKIP34-2	[10-5]	1	Q8N257	9	41.3	5.25	3.40E-09	13908.2	HOMO SAPIENS	H2B3B_HUMAN Histone H2B type 3-B
negative_strep	JKIP34-2	[11]		P06748	9	29.9	5.65	5.30E-10	32575.3	HOMO SAPIENS	NPM_HUMAN Nucleophosmin
negative_strep	JKIP34-2	[12]		Q9HAV7	9	48.8	5.09	2.20E-08	24279.3	HOMO SAPIENS	GRPE1_HUMAN GrpE protein homolog 1, mitochondrial
negative_strep	JKIP34-2	[13]		P19338	11	18.6	3.95	1.80E-07	76615	HOMO SAPIENS	NUCL_HUMAN Nucleolin
negative_strep	JKIP34-2	[14]		P05165	9	15.5	5.04	1.50E-08	80059.7	HOMO SAPIENS	PCCA_HUMAN Propionyl-CoA carboxylase alpha chain, mitochondrial
negative_strep	JKIP34-2	[15]		P62805	9	55.3	4.04	2.80E-06	11367.4	HOMO SAPIENS	H4_HUMAN Histone H4
negative_strep	JKIP34-2	[16]		P07910	8	25.5	4.84	2.10E-07	33670.3	HOMO SAPIENS	HNRPC_HUMAN Heterogeneous nuclear ribonucleoproteins C1/C2
negative_strep	JKIP34-2	[17]		P38646	13	21.2	3.04	1.80E-06	73681.1	HOMO SAPIENS	GRP75_HUMAN Stress-70 protein, mitochondrial
negative_strep	JKIP34-2	[18]		P11142	9	17.2	3.53	9.00E-07	70898.7	HOMO SAPIENS	HSP7C_HUMAN Heat shock cognate 71 kDa protein
negative_strep	JKIP34-2	[18-1]	4	P08107	7	15.6	3.06	1.60E-05	70052.8	HOMO SAPIENS	HSP71_HUMAN Heat shock 70 kDa protein 1A/1B
negative_strep	JKIP34-2	[18-2]	2	P34931	4	7.6	3.06	1.60E-05	70375.6	HOMO SAPIENS	HS71L_HUMAN Heat shock 70 kDa protein 1-like
negative_strep	JKIP34-2	[18-3]	1	P11021	2	3.1	3.01	2.10E-05	72333.5	HOMO SAPIENS	GRP78_HUMAN 78 kDa glucose-regulated protein
negative_strep	JKIP34-2	[19]		Q00839	6	12.6	4.56	5.30E-08	90585.2	HOMO SAPIENS	HNRPU_HUMAN Heterogeneous nuclear ribonucleoprotein U
negative_strep	JKIP34-2	[20]		P09651	4	16.1	5.25	8.10E-09	38746.9	HOMO SAPIENS	ROA1_HUMAN Heterogeneous nuclear ribonucleoprotein A1
negative_strep	JKIP34-2	[21]		P22626	6	21.5	3.21	8.90E-07	37430	HOMO SAPIENS	ROA2_HUMAN Heterogeneous nuclear ribonucleoproteins A2/B1
negative_strep	JKIP34-2	[22]		P0C0S8	4	35.4	5.36	3.20E-09	14091.6	HOMO SAPIENS	H2A1_HUMAN Histone H2A type 1
negative_strep	JKIP34-2	[22-1]	1	P04908	4	35.4	5.36	3.20E-09	14135.6	HOMO SAPIENS	H2A1B_HUMAN Histone H2A type 1-B/E
negative_strep	JKIP34-2	[22-2]	1	Q7L7L0	4	35.4	5.36	3.20E-09	14121.6	HOMO SAPIENS	H2A3_HUMAN Histone H2A type 3
negative_strep	JKIP34-2	[22-3]	1	Q93077	4	35.4	5.36	3.20E-09	14105.6	HOMO SAPIENS	H2A1C_HUMAN Histone H2A type 1-C
negative_strep	JKIP34-2	[22-4]	2	P16104	4	32.2	2.19	2.30E-04	15144.7	HOMO SAPIENS	H2AX_HUMAN Histone H2A.x
negative_strep	JKIP34-2	[22-5]	2	Q96QV6	4	35.1	2.19	2.30E-04	14233.6	HOMO SAPIENS	H2A1A_HUMAN Histone H2A type 1-A
negative_strep	JKIP34-2	[22-6]	2	Q8IUE6	3	30	2.19	2.30E-04	13995.4	HOMO SAPIENS	H2A2B_HUMAN Histone H2A type 2-B
negative_strep	JKIP34-2	[23]		P05387	4	69.6	5.25	2.80E-09	11665	HOMO SAPIENS	RLA2_HUMAN 60S acidic ribosomal protein P2
negative_strep	JKIP34-2	[24]		P30050	3	26.1	5.28	1.40E-07	17818.7	HOMO SAPIENS	RL12_HUMAN 60S ribosomal protein L12
negative_strep	JKIP34-2	[25]		P05388	6	26.5	3.11	5.80E-07	34273.8	HOMO SAPIENS	RLA0_HUMAN 60S acidic ribosomal protein P0
negative_strep	JKIP34-2	[26]		P05141	5	13.8	3.15	2.10E-06	32852.5	HOMO SAPIENS	ADT2_HUMAN ADP/ATP translocase 2
negative_strep	JKIP34-2	[26-1]	1	P12236	3	5.7	1.27	3.50E-04	32866.6	HOMO SAPIENS	ADT3_HUMAN ADP/ATP translocase 3
negative_strep	JKIP34-2	[27]		P62913	3	20.2	4.28	5.60E-08	20252.6	HOMO SAPIENS	RL11_HUMAN 60S ribosomal protein L11
negative_strep	JKIP34-2	[28]		Q3MHD2	3	23.1	4.58	8.50E-09	21700.9	HOMO SAPIENS	LSM12_HUMAN Protein LSM12 homolog
negative_strep	JKIP34-2	[29]		P05386	3	80.7	4.1	8.20E-08	11514	HOMO SAPIENS	RLA1_HUMAN 60S acidic ribosomal protein P1
negative_strep	JKIP34-2	[30]		P63261	3	12.3	4.43	1.40E-08	41793.2	HOMO SAPIENS	ACTG_HUMAN Actin, cytoplasmic 2
negative_strep	JKIP34-2	[30-1]	1	A5A3E0	2	2	1.63	0.0012	121445.7	HOMO SAPIENS	POTEF_HUMAN POTE ankyrin domain family member F
negative_strep	JKIP34-2	[30-2]	1	P0CG38	2	2	1.63	0.0012	121283.5	HOMO SAPIENS	POTEI_HUMAN POTE ankyrin domain family member I
negative_strep	JKIP34-2	[30-3]	1	P0CG39	2	2	1.63	0.0012	117391	HOMO SAPIENS	POTEJ_HUMAN POTE ankyrin domain family member J
negative_strep	JKIP34-2	[30-4]	1	Q6S8J3	2	2	1.63	0.0012	121364.6	HOMO SAPIENS	POTEE_HUMAN POTE ankyrin domain family member E
negative_strep	JKIP34-2	[31]		P68363	3	10	3.11	1.70E-06	50152.1	HOMO SAPIENS	TBA1B_HUMAN Tubulin alpha-1B chain
negative_strep	JKIP34-2	[32]		Q8NC51	2	6.6	5.16	5.00E-09	44965.7	HOMO SAPIENS	PAIRB_HUMAN Plasminogen activator inhibitor 1 RNA-binding protein
negative_strep	JKIP34-2	[33]		P68104	3	13.6	3.29	2.80E-06	50141.3	HOMO SAPIENS	EF1A1_HUMAN Elongation factor 1-alpha 1
negative_strep	JKIP34-2	[34]		P62269	3	19.1	2.6	4.30E-05	17718.8	HOMO SAPIENS	RS18_HUMAN 40S ribosomal protein S18
negative_strep	JKIP34-2	[35]		P39019	4	24.8	1.86	4.70E-04	16060.6	HOMO SAPIENS	RS19_HUMAN 40S ribosomal protein S19
negative_strep	JKIP34-2	[36]		P50914	2	10.7	3.59	3.20E-06	23432.1	HOMO SAPIENS	RL14_HUMAN 60S ribosomal protein L14
negative_strep	JKIP34-2	[37]		P38159	4	9.7	1.71	6.40E-04	42332.2	HOMO SAPIENS	RBMX_HUMAN RNA-binding motif protein, X chromosome
negative_strep	JKIP34-2	[38]		P22061	4	30.4	2.07	3.20E-04	24636.6	HOMO SAPIENS	PIMT_HUMAN Protein-L-isoaspartate(D-aspartate) O-methyltransferase
negative_strep	JKIP34-2	[39]		Q7Z3Y7	4	5.4	1.85	4.10E-04	50567.8	HOMO SAPIENS	K1C28_HUMAN Keratin, type I cytoskeletal 28
negative_strep	JKIP34-2	[40]		P25398	1	17.4	5.43	9.10E-09	14515.1	HOMO SAPIENS	RS12_HUMAN 40S ribosomal protein S12
negative_strep	JKIP34-2	[41]		P07437	4	10.1	2.04	1.70E-05	49671.3	HOMO SAPIENS	TBB5_HUMAN Tubulin beta chain
negative_strep	JKIP34-2	[41-1]	1	P68371	4	9.4	2.04	1.70E-05	49831.5	HOMO SAPIENS	TBB4B_HUMAN Tubulin beta-4B chain
negative_strep	JKIP34-2	[42]		P62241	2	10.6	2.74	8.20E-06	24205.4	HOMO SAPIENS	RS8_HUMAN 40S ribosomal protein S8
negative_strep	JKIP34-2	[43]		Q99729	1	3.9	4.55	6.70E-08	36225.2	HOMO SAPIENS	ROAA_HUMAN Heterogeneous nuclear ribonucleoprotein A/B
negative_strep	JKIP34-2	[44]		Q5XKE5	3	9.5	2.01	1.30E-04	57836.1	HOMO SAPIENS	K2C79_HUMAN Keratin, type II cytoskeletal 79
negative_strep	JKIP34-2	[44-1]	1	P02538	2	3.7	2.14	1.30E-04	60045.4	HOMO SAPIENS	K2C6A_HUMAN Keratin, type II cytoskeletal 6A
negative_strep	JKIP34-2	[44-2]	1	P48668	2	3.7	2.14	1.30E-04	60025.4	HOMO SAPIENS	K2C6C_HUMAN Keratin, type II cytoskeletal 6C
