Entry	Entry name	Status	Protein names	Gene names	Organism	Length
P36346	HEMA_I000F	reviewed	Hemagglutinin [Cleaved into: Hemagglutinin HA1 chain; Hemagglutinin HA2 chain]	HA	Influenza A virus (strain A/Chicken/Weybridge H7N7) (Influenza A virus (strain A/FPV/Weybridge H7N7))	563
P03438	HEMA_I000X	reviewed	Hemagglutinin [Cleaved into: Hemagglutinin HA1 chain; Hemagglutinin HA2 chain]	HA	Influenza A virus (strain A/X-31 H3N2)	566
Q8QPL1	HEMA_I00A0	reviewed	Hemagglutinin [Cleaved into: Hemagglutinin HA1 chain; Hemagglutinin HA2 chain]	HA	Influenza A virus (strain A/Duck/Hong Kong/2986.1/2000 H5N1 genotype C)	568
Q289M7	HEMA_I00A1	reviewed	Hemagglutinin [Cleaved into: Hemagglutinin HA1 chain; Hemagglutinin HA2 chain]	HA	Influenza A virus (strain A/New Zealand:South Canterbury/35/2000 H1N1)	565
Q80A26	HEMA_I01A0	reviewed	Hemagglutinin [Cleaved into: Hemagglutinin HA1 chain; Hemagglutinin HA2 chain] (Fragment)	HA	Influenza A virus (strain A/Silky Chicken/Hong Kong/SF189/2001 H5N1 genotype A)	557
Q80A30	HEMA_I01A1	reviewed	Hemagglutinin [Cleaved into: Hemagglutinin HA1 chain; Hemagglutinin HA2 chain] (Fragment)	HA	Influenza A virus (strain A/Chicken/Hong Kong/YU562/2001 H5N1 genotype B)	552
Q80A28	HEMA_I01A2	reviewed	Hemagglutinin [Cleaved into: Hemagglutinin HA1 chain; Hemagglutinin HA2 chain] (Fragment)	HA	Influenza A virus (strain A/Chicken/Hong Kong/FY150/2001 H5N1 genotype D)	548
Q80A22	HEMA_I01A3	reviewed	Hemagglutinin [Cleaved into: Hemagglutinin HA1 chain; Hemagglutinin HA2 chain] (Fragment)	HA	Influenza A virus (strain A/Chicken/Hong Kong/715.5/2001 H5N1 genotype E)	556
Q6DQ22	HEMA_I02A1	reviewed	Hemagglutinin [Cleaved into: Hemagglutinin HA1 chain; Hemagglutinin HA2 chain] (Fragment)	HA	Influenza A virus (strain A/Guinea fowl/Hong Kong/38/2002 H5N1 genotype X0)	555
Q6DQ21	HEMA_I02A2	reviewed	Hemagglutinin [Cleaved into: Hemagglutinin HA1 chain; Hemagglutinin HA2 chain] (Fragment)	HA	Influenza A virus (strain A/Chicken/Hong Kong/31.2/2002 H5N1 genotype X1)	567
