Entry	Entry name	Status	Protein names	Gene names	Organism	Length
Q6G581	ACCD_BARHE	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta (ACCase subunit beta) (Acetyl-CoA carboxylase carboxyltransferase subunit beta) (EC 6.4.1.2)	accD BH00340	Bartonella henselae (strain ATCC 49882 / Houston 1) (Rochalimaea henselae)	306
Q6G461	ACPS_BARHE	reviewed	Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS)	acpS BH05070	Bartonella henselae (strain ATCC 49882 / Houston 1) (Rochalimaea henselae)	133
Q6G442	ACP_BARHE	reviewed	Acyl carrier protein (ACP)	acpP BH05360	Bartonella henselae (strain ATCC 49882 / Houston 1) (Rochalimaea henselae)	78
Q6G1W0	ACSA_BARHE	reviewed	Acetyl-coenzyme A synthetase (AcCoA synthetase) (Acs) (EC 6.2.1.1) (Acetate--CoA ligase) (Acyl-activating enzyme)	acsA BH15410	Bartonella henselae (strain ATCC 49882 / Houston 1) (Rochalimaea henselae)	652
Q6G552	ARGB_BARHE	reviewed	Acetylglutamate kinase (EC 2.7.2.8) (N-acetyl-L-glutamate 5-phosphotransferase) (NAG kinase) (AGK)	argB BH00690	Bartonella henselae (strain ATCC 49882 / Houston 1) (Rochalimaea henselae)	301
Q6G5T6	ARGJ_BARHE	reviewed	Arginine biosynthesis bifunctional protein ArgJ [Cleaved into: Arginine biosynthesis bifunctional protein ArgJ alpha chain; Arginine biosynthesis bifunctional protein ArgJ beta chain] [Includes: Glutamate N-acetyltransferase (EC 2.3.1.35) (Ornithine acetyltransferase) (OATase) (Ornithine transacetylase); Amino-acid acetyltransferase (EC 2.3.1.1) (N-acetylglutamate synthase) (AGSase)]	argJ BH02010	Bartonella henselae (strain ATCC 49882 / Houston 1) (Rochalimaea henselae)	410
Q6G545	AROA_BARHE	reviewed	3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS)	aroA BH00950	Bartonella henselae (strain ATCC 49882 / Houston 1) (Rochalimaea henselae)	442
Q6G1N8	AROB_BARHE	reviewed	3-dehydroquinate synthase (EC 4.2.3.4)	aroB BH16370	Bartonella henselae (strain ATCC 49882 / Houston 1) (Rochalimaea henselae)	377
Q6G4D4	AROC_BARHE	reviewed	Chorismate synthase (EC 4.2.3.5) (5-enolpyruvylshikimate-3-phosphate phospholyase)	aroC BH04320	Bartonella henselae (strain ATCC 49882 / Houston 1) (Rochalimaea henselae)	366
Q6G5A9	AROE_BARHE	reviewed	Shikimate dehydrogenase (EC 1.1.1.25)	aroE BH00030	Bartonella henselae (strain ATCC 49882 / Houston 1) (Rochalimaea henselae)	293
Q6G1N9	AROK_BARHE	reviewed	Shikimate kinase (SK) (EC 2.7.1.71)	aroK BH16360	Bartonella henselae (strain ATCC 49882 / Houston 1) (Rochalimaea henselae)	210
Q6G523	AROQ_BARHE	reviewed	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type II DHQase)	aroQ BH01210	Bartonella henselae (strain ATCC 49882 / Houston 1) (Rochalimaea henselae)	148
Q6G5L2	ATP6_BARHE	reviewed	ATP synthase subunit a (ATP synthase F0 sector subunit a) (F-ATPase subunit 6)	atpB BH04110	Bartonella henselae (strain ATCC 49882 / Houston 1) (Rochalimaea henselae)	252
Q6G1W7	ATPA_BARHE	reviewed	ATP synthase subunit alpha (EC 3.6.3.14) (ATP synthase F1 sector subunit alpha) (F-ATPase subunit alpha)	atpA BH15340	Bartonella henselae (strain ATCC 49882 / Houston 1) (Rochalimaea henselae)	511
Q6G1W9	ATPB_BARHE	reviewed	ATP synthase subunit beta (EC 3.6.3.14) (ATP synthase F1 sector subunit beta) (F-ATPase subunit beta)	atpD BH15320	Bartonella henselae (strain ATCC 49882 / Houston 1) (Rochalimaea henselae)	531
Q6G1W6	ATPD_BARHE	reviewed	ATP synthase subunit delta (ATP synthase F(1) sector subunit delta) (F-type ATPase subunit delta) (F-ATPase subunit delta)	atpH BH15350	Bartonella henselae (strain ATCC 49882 / Houston 1) (Rochalimaea henselae)	197
Q6G1X0	ATPE_BARHE	reviewed	ATP synthase epsilon chain (ATP synthase F1 sector epsilon subunit) (F-ATPase epsilon subunit)	atpC BH15310	Bartonella henselae (strain ATCC 49882 / Houston 1) (Rochalimaea henselae)	138
Q6G5L0	ATPF1_BARHE	reviewed	ATP synthase subunit b 1 (ATP synthase F(0) sector subunit b 1) (ATPase subunit I 1) (F-type ATPase subunit b 1) (F-ATPase subunit b 1)	atpF1 BH04130	Bartonella henselae (strain ATCC 49882 / Houston 1) (Rochalimaea henselae)	188
Q6G5K9	ATPF2_BARHE	reviewed	ATP synthase subunit b 2 (ATP synthase F(0) sector subunit b 2) (ATPase subunit I 2) (F-type ATPase subunit b 2) (F-ATPase subunit b 2)	atpF2 BH04140	Bartonella henselae (strain ATCC 49882 / Houston 1) (Rochalimaea henselae)	164
Q6G1W8	ATPG_BARHE	reviewed	ATP synthase gamma chain (ATP synthase F1 sector gamma subunit) (F-ATPase gamma subunit)	atpG BH15330	Bartonella henselae (strain ATCC 49882 / Houston 1) (Rochalimaea henselae)	303
Q6G2A9	BEPA_BARHE	reviewed	Adenosine monophosphate-protein transferase (EC 2.7.7.n1) (AMPylator)	bepA BH13370	Bartonella henselae (strain ATCC 49882 / Houston 1) (Rochalimaea henselae)	544
Q6G5M0	CARA_BARHE	reviewed	Carbamoyl-phosphate synthase small chain (EC 6.3.5.5) (Carbamoyl-phosphate synthetase glutamine chain)	carA BH11590	Bartonella henselae (strain ATCC 49882 / Houston 1) (Rochalimaea henselae)	399
Q6G529	CCMA_BARHE	reviewed	Cytochrome c biogenesis ATP-binding export protein CcmA (EC 3.6.3.41) (Heme exporter protein A)	ccmA BH01150	Bartonella henselae (strain ATCC 49882 / Houston 1) (Rochalimaea henselae)	208
Q6G494	CCME_BARHE	reviewed	Cytochrome c-type biogenesis protein CcmE (Cytochrome c maturation protein E) (Heme chaperone CcmE)	ccmE cycJ BH04740	Bartonella henselae (strain ATCC 49882 / Houston 1) (Rochalimaea henselae)	159
O33963	CH60_BARHE	reviewed	60 kDa chaperonin (GroEL protein) (Heat shock protein 60) (Protein Cpn60)	groL groEL mopA BH13530	Bartonella henselae (strain ATCC 49882 / Houston 1) (Rochalimaea henselae)	547
P51033	CISY_BARHE	reviewed	Citrate synthase (EC 2.3.3.1)	gltA BH06380	Bartonella henselae (strain ATCC 49882 / Houston 1) (Rochalimaea henselae)	431
Q6G3Z3	CLPP_BARHE	reviewed	ATP-dependent Clp protease proteolytic subunit (EC 3.4.21.92) (Endopeptidase Clp)	clpP BH05880	Bartonella henselae (strain ATCC 49882 / Houston 1) (Rochalimaea henselae)	210
Q6G5D4	CLPS_BARHE	reviewed	ATP-dependent Clp protease adapter protein ClpS	clpS BH06170	Bartonella henselae (strain ATCC 49882 / Houston 1) (Rochalimaea henselae)	110
Q6G3Z2	CLPX_BARHE	reviewed	ATP-dependent Clp protease ATP-binding subunit ClpX	clpX BH05890	Bartonella henselae (strain ATCC 49882 / Houston 1) (Rochalimaea henselae)	424
Q6G304	COAD_BARHE	reviewed	Phosphopantetheine adenylyltransferase (EC 2.7.7.3) (Dephospho-CoA pyrophosphorylase) (Pantetheine-phosphate adenylyltransferase) (PPAT)	coaD BH10110	Bartonella henselae (strain ATCC 49882 / Houston 1) (Rochalimaea henselae)	172
