Entry	Entry name	Status	Protein names	Gene names	Organism	Length
P08172	ACM2_HUMAN	reviewed	Muscarinic acetylcholine receptor M2	CHRM2	Homo sapiens (Human)	466
P62736	ACTA_HUMAN	reviewed	Actin, aortic smooth muscle (Alpha-actin-2) (Cell growth-inhibiting gene 46 protein)	ACTA2 ACTSA ACTVS GIG46	Homo sapiens (Human)	377
O75179	ANR17_HUMAN	reviewed	Ankyrin repeat domain-containing protein 17 (Gene trap ankyrin repeat protein) (Serologically defined breast cancer antigen NY-BR-16)	ANKRD17 GTAR KIAA0697	Homo sapiens (Human)	2603
P61966	AP1S1_HUMAN	reviewed	AP-1 complex subunit sigma-1A (Adapter-related protein complex 1 sigma-1A subunit) (Adaptor protein complex AP-1 sigma-1A subunit) (Clathrin assembly protein complex 1 sigma-1A small chain) (Clathrin coat assembly protein AP19) (Golgi adaptor HA1/AP1 adaptin sigma-1A subunit) (HA1 19 kDa subunit) (Sigma 1a subunit of AP-1 clathrin) (Sigma-adaptin 1A) (Sigma1A-adaptin)	AP1S1 AP19 CLAPS1	Homo sapiens (Human)	158
P04114	APOB_HUMAN	reviewed	Apolipoprotein B-100 (Apo B-100) [Cleaved into: Apolipoprotein B-48 (Apo B-48)]	APOB	Homo sapiens (Human)	4563
Q00534	CDK6_HUMAN	reviewed	Cyclin-dependent kinase 6 (EC 2.7.11.22) (Cell division protein kinase 6) (Serine/threonine-protein kinase PLSTIRE)	CDK6 CDKN6	Homo sapiens (Human)	326
P10909	CLUS_HUMAN	reviewed	Clusterin (Aging-associated gene 4 protein) (Apolipoprotein J) (Apo-J) (Complement cytolysis inhibitor) (CLI) (Complement-associated protein SP-40,40) (Ku70-binding protein 1) (NA1/NA2) (Testosterone-repressed prostate message 2) (TRPM-2) [Cleaved into: Clusterin beta chain (ApoJalpha) (Complement cytolysis inhibitor a chain); Clusterin alpha chain (ApoJbeta) (Complement cytolysis inhibitor b chain)]	CLU APOJ CLI KUB1 AAG4	Homo sapiens (Human)	449
P23528	COF1_HUMAN	reviewed	Cofilin-1 (18 kDa phosphoprotein) (p18) (Cofilin, non-muscle isoform)	CFL1 CFL	Homo sapiens (Human)	166
P08174	DAF_HUMAN	reviewed	Complement decay-accelerating factor (CD antigen CD55)	CD55 CR DAF	Homo sapiens (Human)	381
O15075	DCLK1_HUMAN	reviewed	Serine/threonine-protein kinase DCLK1 (EC 2.7.11.1) (Doublecortin domain-containing protein 3A) (Doublecortin-like and CAM kinase-like 1) (Doublecortin-like kinase 1)	DCLK1 DCAMKL1 DCDC3A KIAA0369	Homo sapiens (Human)	740
P11926	DCOR_HUMAN	reviewed	Ornithine decarboxylase (ODC) (EC 4.1.1.17)	ODC1	Homo sapiens (Human)	461
P26641	EF1G_HUMAN	reviewed	Elongation factor 1-gamma (EF-1-gamma) (eEF-1B gamma)	EEF1G EF1G PRO1608	Homo sapiens (Human)	437
P06733	ENOA_HUMAN	reviewed	Alpha-enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (C-myc promoter-binding protein) (Enolase 1) (MBP-1) (MPB-1) (Non-neural enolase) (NNE) (Phosphopyruvate hydratase) (Plasminogen-binding protein)	ENO1 ENO1L1 MBPB1 MPB1	Homo sapiens (Human)	434
Q15651	HMGN3_HUMAN	reviewed	High mobility group nucleosome-binding domain-containing protein 3 (Thyroid receptor-interacting protein 7) (TR-interacting protein 7) (TRIP-7)	HMGN3 TRIP7 PNAS-24	Homo sapiens (Human)	99
P04792	HSPB1_HUMAN	reviewed	Heat shock protein beta-1 (HspB1) (28 kDa heat shock protein) (Estrogen-regulated 24 kDa protein) (Heat shock 27 kDa protein) (HSP 27) (Stress-responsive protein 27) (SRP27)	HSPB1 HSP27 HSP28	Homo sapiens (Human)	205
Q04637	IF4G1_HUMAN	reviewed	Eukaryotic translation initiation factor 4 gamma 1 (eIF-4-gamma 1) (eIF-4G 1) (eIF-4G1) (p220)	EIF4G1 EIF4F EIF4G EIF4GI	Homo sapiens (Human)	1599
O43432	IF4G3_HUMAN	reviewed	Eukaryotic translation initiation factor 4 gamma 3 (eIF-4-gamma 3) (eIF-4G 3) (eIF4G 3) (eIF-4-gamma II) (eIF4GII)	EIF4G3	Homo sapiens (Human)	1585
P29459	IL12A_HUMAN	reviewed	Interleukin-12 subunit alpha (IL-12A) (Cytotoxic lymphocyte maturation factor 35 kDa subunit) (CLMF p35) (IL-12 subunit p35) (NK cell stimulatory factor chain 1) (NKSF1)	IL12A NKSF1	Homo sapiens (Human)	219
P61916	NPC2_HUMAN	reviewed	Epididymal secretory protein E1 (Human epididymis-specific protein 1) (He1) (Niemann-Pick disease type C2 protein)	NPC2 HE1	Homo sapiens (Human)	151
Q9P1W9	PIM2_HUMAN	reviewed	Serine/threonine-protein kinase pim-2 (EC 2.7.11.1) (Pim-2h)	PIM2	Homo sapiens (Human)	311
P12915	POLG_BOVEV	reviewed	Genome polyprotein [Cleaved into: Protein VP0 (VP4-VP2); Protein VP4 (P1A) (Virion protein 4); Protein VP2 (P1B) (Virion protein 2); Protein VP3 (P1C) (Virion protein 3); Protein VP1 (P1D) (Virion protein 1); Picornain 2A (P2A) (Protein 2A) (EC 3.4.22.29); Protein 2B (P2B); Protein 2C (P2C) (EC 3.6.1.15); Protein 3A (P3A); Protein 3B (P3B) (VPg); Picornain 3C (EC 3.4.22.28) (Protease 3C) (P3C); RNA-directed RNA polymerase 3D-POL (P3D-POL) (EC 2.7.7.48)]		Bovine enterovirus (strain VG-5-27) (BEV)	2175
Q65900	POLG_CX16G	reviewed	Genome polyprotein [Cleaved into: Protein VP0 (VP4-VP2); Protein VP4 (P1A) (Virion protein 4); Protein VP2 (P1B) (Virion protein 2); Protein VP3 (P1C) (Virion protein 3); Protein VP1 (P1D) (Virion protein 1); Picornain 2A (P2A) (Protein 2A) (EC 3.4.22.29); Protein 2B (P2B); Protein 2C (P2C) (EC 3.6.1.15); Protein 3A (P3A); Protein 3B (P3B) (VPg); Picornain 3C (EC 3.4.22.28) (Protease 3C) (P3C); RNA-directed RNA polymerase 3D-POL (P3D-POL) (EC 2.7.7.48)]		Coxsackievirus A16 (strain G-10)	2193
Q9QF31	POLG_CX16T	reviewed	Genome polyprotein [Cleaved into: Protein VP0 (VP4-VP2); Protein VP4 (P1A) (Virion protein 4); Protein VP2 (P1B) (Virion protein 2); Protein VP3 (P1C) (Virion protein 3); Protein VP1 (P1D) (Virion protein 1); Picornain 2A (P2A) (Protein 2A) (EC 3.4.22.29); Protein 2B (P2B); Protein 2C (P2C) (EC 3.6.1.15); Protein 3A (P3A); Protein 3B (P3B) (VPg); Picornain 3C (EC 3.4.22.28) (Protease 3C) (P3C); RNA-directed RNA polymerase 3D-POL (P3D-POL) (EC 2.7.7.48)]		Coxsackievirus A16 (strain Tainan/5079/98)	2193
P22055	POLG_CXA21	reviewed	Genome polyprotein [Cleaved into: Protein VP0 (VP4-VP2); Protein VP4 (P1A) (Virion protein 4); Protein VP2 (P1B) (Virion protein 2); Protein VP3 (P1C) (Virion protein 3); Protein VP1 (P1D) (Virion protein 1); Picornain 2A (P2A) (Protein 2A) (EC 3.4.22.29); Protein 2B (P2B); Protein 2C (P2C) (EC 3.6.1.15); Protein 3A (P3A); Protein 3B (P3B) (VPg); Picornain 3C (EC 3.4.22.28) (Protease 3C) (P3C); RNA-directed RNA polymerase 3D-POL (P3D-POL) (EC 2.7.7.48)]		Coxsackievirus A21 (strain Coe)	2206
P36290	POLG_CXA24	reviewed	Genome polyprotein [Cleaved into: Protein VP0 (VP4-VP2); Protein VP4 (P1A) (Virion protein 4); Protein VP2 (P1B) (Virion protein 2); Protein VP3 (P1C) (Virion protein 3); Protein VP1 (P1D) (Virion protein 1); Picornain 2A (P2A) (Protein 2A) (EC 3.4.22.29); Protein 2B (P2B); Protein 2C (P2C) (EC 3.6.1.15); Protein 3A (P3A); Protein 3B (P3B) (VPg); Picornain 3C (EC 3.4.22.28) (Protease 3C) (P3C); RNA-directed RNA polymerase 3D-POL (P3D-POL) (EC 2.7.7.48)]		Coxsackievirus A24 (strain EH24/70)	2214
P21404	POLG_CXA9	reviewed	Genome polyprotein [Cleaved into: Protein VP0 (VP4-VP2); Protein VP4 (P1A) (Virion protein 4); Protein VP2 (P1B) (Virion protein 2); Protein VP3 (P1C) (Virion protein 3); Protein VP1 (P1D) (Virion protein 1); Picornain 2A (P2A) (Protein 2A) (EC 3.4.22.29); Protein 2B (P2B); Protein 2C (P2C) (EC 3.6.1.15); Protein 3A (P3A); Protein 3B (P3B) (VPg); Picornain 3C (EC 3.4.22.28) (Protease 3C) (P3C); RNA-directed RNA polymerase 3D-POL (P3D-POL) (EC 2.7.7.48)]		Coxsackievirus A9 (strain Griggs)	2201
P08291	POLG_CXB1J	reviewed	Genome polyprotein [Cleaved into: Protein VP0 (VP4-VP2); Protein VP4 (P1A) (Virion protein 4); Protein VP2 (P1B) (Virion protein 2); Protein VP3 (P1C) (Virion protein 3); Protein VP1 (P1D) (Virion protein 1); Picornain 2A (P2A) (Protein 2A) (EC 3.4.22.29); Protein 2B (P2B); Protein 2C (P2C) (EC 3.6.1.15); Protein 3A (P3A); Protein 3B (P3B) (VPg); Picornain 3C (EC 3.4.22.28) (Protease 3C) (P3C); RNA-directed RNA polymerase 3D-POL (P3D-POL) (EC 2.7.7.48)]		Coxsackievirus B1 (strain Japan)	2182
Q9YLG5	POLG_CXB2O	reviewed	Genome polyprotein [Cleaved into: Protein VP0 (VP4-VP2); Protein VP4 (P1A) (Virion protein 4); Protein VP2 (P1B) (Virion protein 2); Protein VP3 (P1C) (Virion protein 3); Protein VP1 (P1D) (Virion protein 1); Picornain 2A (P2A) (Protein 2A) (EC 3.4.22.29); Protein 2B (P2B); Protein 2C (P2C) (EC 3.6.1.15); Protein 3A (P3A); Protein 3B (P3B) (VPg); Picornain 3C (EC 3.4.22.28) (Protease 3C) (P3C); RNA-directed RNA polymerase 3D-POL (P3D-POL) (EC 2.7.7.48)]		Coxsackievirus B2 (strain Ohio-1)	2187
P03313	POLG_CXB3N	reviewed	Genome polyprotein [Cleaved into: Protein VP0 (VP4-VP2); Protein VP4 (P1A) (Virion protein 4); Protein VP2 (P1B) (Virion protein 2); Protein VP3 (P1C) (Virion protein 3); Protein VP1 (P1D) (Virion protein 1); Picornain 2A (P2A) (Protein 2A) (EC 3.4.22.29); Protein 2B (P2B); Protein 2C (P2C) (EC 3.6.1.15); Protein 3A (P3A); Protein 3B (P3B) (VPg); Picornain 3C (EC 3.4.22.28) (Protease 3C) (P3C); RNA-directed RNA polymerase 3D-POL (P3D-POL) (EC 2.7.7.48)]		Coxsackievirus B3 (strain Nancy)	2185
